canonical_url,date_published,domain,from_user_botscore,from_user_id,from_user_screen_name,id,is_mention,original_query,pub_date,site_domain,site_type,title,to_user_botscore,to_user_id,to_user_screen_name,tweet_created_at,tweet_id,tweet_type,tweet_url,url_id,url_raw
,2021-08-01T01:59:47Z,,0.27,3311873282,Reesetapher,,false,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T01:59:47Z,,claim,,0.28,1136245272646967296,chaoticgoodpal1,2021-08-01T01:59:47Z,1421651846700142592,retweet,https://twitter.com/Reesetapher/status/1421651846700142592,,
,2021-08-01T02:00:07Z,,0.04,316672125,alexusgalvan,,false,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:00:07Z,,claim,,0.35,1117864085658402817,MaevaTlD1,2021-08-01T02:00:07Z,1421651930435231753,retweet,https://twitter.com/alexusgalvan/status/1421651930435231753,,
,2021-08-01T02:00:30Z,,0.92,15856435,MSN,,false,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:00:30Z,,claim,,0.6,896618929178767361,starwing54,2021-08-01T02:00:30Z,1421652027046825986,retweet,https://twitter.com/MSN/status/1421652027046825986,,
,2021-08-01T02:01:43Z,,0.2,499815801,SBarrBrisebois,,true,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:01:43Z,,claim,,0.6,16343974,Telegraph,2021-08-01T02:01:43Z,1421652331871997955,mention,https://twitter.com/SBarrBrisebois/status/1421652331871997955,,
,2021-08-01T02:02:35Z,,0.2,499815801,SBarrBrisebois,,true,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:02:35Z,,claim,,0.6,16343974,Telegraph,2021-08-01T02:02:35Z,1421652548327510016,mention,https://twitter.com/SBarrBrisebois/status/1421652548327510016,,
,2021-08-01T02:02:41Z,,0.11,1634940590,LilithLovett,,false,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:02:41Z,,claim,,0.74,1047347397020590080,BlueBlazeStar,2021-08-01T02:02:41Z,1421652575968010242,retweet,https://twitter.com/LilithLovett/status/1421652575968010242,,
,2021-08-01T02:02:49Z,,0.27,4081106480,realDailyWire,,false,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:02:49Z,,claim,,0.83,1224171621990174720,RedReaperComet,2021-08-01T02:02:49Z,1421652607181987841,retweet,https://twitter.com/realDailyWire/status/1421652607181987841,,
,2021-08-01T02:03:05Z,,0.2,499815801,SBarrBrisebois,,true,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:03:05Z,,claim,,0.6,16343974,Telegraph,2021-08-01T02:03:05Z,1421652677273034754,mention,https://twitter.com/SBarrBrisebois/status/1421652677273034754,,
,2021-08-01T02:03:08Z,,0.24,1183140123497652224,ReviewsPossum,,false,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:03:08Z,,claim,,0.14,742762993222619136,NoMoreWeebz,2021-08-01T02:03:08Z,1421652689113464834,retweet,https://twitter.com/ReviewsPossum/status/1421652689113464834,,
,2021-08-01T02:03:24Z,,0.77,3312695052,sgtkeebler,,true,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:03:24Z,,claim,,0.76,7157132,GameSpot,2021-08-01T02:03:24Z,1421652753034534917,mention,https://twitter.com/sgtkeebler/status/1421652753034534917,,
,2021-08-01T02:04:10Z,,0.355186,1161475489929801729,DannaRiddle2,,true,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:04:10Z,,claim,,0.33,10228272,YouTube,2021-08-01T02:04:10Z,1421652947100897283,mention,https://twitter.com/DannaRiddle2/status/1421652947100897283,,
,2021-08-01T02:04:43Z,,0.43,1288453155290673153,centauri_27,,true,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:04:43Z,,claim,,0.61,225096034,TheMarySue,2021-08-01T02:04:43Z,1421653087765221377,mention,https://twitter.com/centauri_27/status/1421653087765221377,,
,2021-08-01T02:05:13Z,,0.24,1183140123497652224,ReviewsPossum,,false,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:05:13Z,,claim,,0.15,904693981870571520,AnimatedNeko,2021-08-01T02:05:13Z,1421653211111313409,retweet,https://twitter.com/ReviewsPossum/status/1421653211111313409,,
,2021-08-01T02:05:34Z,,0.61,16973333,Independent,,false,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:05:34Z,,claim,,,1243777839775842304,Majobran94_,2021-08-01T02:05:34Z,1421653301360275462,retweet,https://twitter.com/Independent/status/1421653301360275462,,
,2021-08-01T02:05:53Z,,0.2,499815801,SBarrBrisebois,,true,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:05:53Z,,claim,,0.6,16343974,Telegraph,2021-08-01T02:05:53Z,1421653380162785285,mention,https://twitter.com/SBarrBrisebois/status/1421653380162785285,,
,2021-08-01T02:06:07Z,,0.26,1228743291996459018,sunflxwervolsix,,false,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:06:07Z,,claim,,0.39,857655488984600576,rubian812785,2021-08-01T02:06:07Z,1421653439444967425,retweet,https://twitter.com/sunflxwervolsix/status/1421653439444967425,,
,2021-08-01T02:06:14Z,,0.19,3309371255,LauraBockov,,false,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:06:14Z,,claim,,0.43,1374702533415960578,RosaPinales3,2021-08-01T02:06:14Z,1421653466288726020,retweet,https://twitter.com/LauraBockov/status/1421653466288726020,,
,2021-08-01T02:07:07Z,,0.02,64596856,kerikukral,,false,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:07:07Z,,claim,,0.34,1256934096401584129,Welcometoshare,2021-08-01T02:07:07Z,1421653692017696778,retweet,https://twitter.com/kerikukral/status/1421653692017696778,,
,2021-08-01T02:07:23Z,,0.27,4081106480,realDailyWire,,false,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:07:23Z,,claim,,0.11,869120795179499520,hn_i9q,2021-08-01T02:07:23Z,1421653757985759232,retweet,https://twitter.com/realDailyWire/status/1421653757985759232,,
,2021-08-01T02:07:33Z,,0.2,499815801,SBarrBrisebois,,true,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:07:33Z,,claim,,0.6,16343974,Telegraph,2021-08-01T02:07:33Z,1421653799593205762,mention,https://twitter.com/SBarrBrisebois/status/1421653799593205762,,
,2021-08-01T02:07:44Z,,0.76,109651819,Foro_TV,,false,query=amber%20heard&sort=mixed&type=Twitter&lang=,2021-08-01T02:07:44Z,,claim,,0.27,169176679,Gustavo2531,2021-08-01T02:07:44Z,1421653847634677760,retweet,https://twitter.com/Foro_TV/status/1421653847634677760,,
