" ",Count
JusticeForJohnnyDepp,"444,683"
AmberHeardIsAnAbuser,"105,078"
AmberHeardIsALiar,"61,889"
JohnnyDepp,"57,522"
JohnnyDeppIsInnocent,"37,628"
justiceforjohnnydepp,"22,796"
DeppMovieNight,"16,616"
AmberHeard,"15,864"
WeStandWithJohnnyDepp,"13,353"
JusticeforJohnnyDepp,"9,592"
JusticeForJohhnyDepp,"9,423"
FireAmberHeard,"8,344"
Deppcember,"8,179"
johnnydeppisinnocent,"7,613"
WeAreWithYouJohnnyDepp,"7,577"
BoycottFantasticBeasts,"7,551"
johnnydepp,"7,525"
JohnnyDeppDeservesJustice,"7,005"
JohnnyDeppIsASurvivor,"6,996"
MenToo,"6,794"
BoycottWarnerBros,"6,353"
BoycottWarnerBrothers,"6,007"
NoJohnnyNoPirates,"5,618"
JohnnyDeppIsMyGrindelwald,"5,454"
AmberHeardIsTheRealAbuser,"5,246"
