,shared_url,media_id,text,n_likes,n_replies,total,url_id
0,https://www.hollywoodreporter.com/news/marvel-shake-up-film-chief-819205,2.546104628246705e+18,"@wolf_sazen the story broke August 2015 

https://www.hollywoodreporter.com/news/marvel-shake-up-film-chief-819205",827.0,,827.0,instagram_comments_4_months_0
1,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,2.515802777203286e+18,@pia_kusianovich www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,424.0,,424.0,instagram_comments_4_months_1
2,https://www.google.com.br/amp/s/amp.news.com.au/entertainment/celebrity-life/unearthed-texts-to-johnny-depps-doctor-reveal-the-actor-cut-his-own-finger-and-blamed-it-on-exwife-amber-heard/news-story/f9b0aab0c8ad5bc052e8f8791da7d6e7,2.538090731641219e+18,"@isgaovieira Bem, acho que voce não deve ter lido as noticias que eu mandei, porque ele nao especifica tanto sobre o dedo. Mas que bom que você finalmente conseguiu encontrar outras notícias já que seu argumento anterior indicava que elas não existiam. Vou dar mais uma ajuda aqui que também tem essa ;) - https://www.google.com.br/amp/s/amp.news.com.au/entertainment/celebrity-life/unearthed-texts-to-johnny-depps-doctor-reveal-the-actor-cut-his-own-finger-and-blamed-it-on-exwife-amber-heard/news-story/f9b0aab0c8ad5bc052e8f8791da7d6e7",88.0,,88.0,instagram_comments_4_months_2
3,http://chng.it/9fvfm2mSb4,2.515802777203286e+18,@feliperailen15._ http://chng.it/9fvfm2mSb4,69.0,,69.0,instagram_comments_4_months_3
4,http://chng.it/r7wxtqT8N9,2.515802777203286e+18,@feliperailen15._ http://chng.it/r7wxtqT8N9,69.0,,69.0,instagram_comments_4_months_4
5,https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,2.517016217125287e+18,@yuliannagonca https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,61.0,,61.0,instagram_comments_4_months_5
6,https://www.google.com.mx/amp/s/www.businessinsider.com/johnny-depp-pirates-movie-set-crisis-2017-5%3famp,2.5170751811853404e+18,@axelfaz0304 aquí está la fuente https://www.google.com.mx/amp/s/www.businessinsider.com/johnny-depp-pirates-movie-set-crisis-2017-5%3famp,50.0,,50.0,instagram_comments_4_months_6
7,https://youtu.be/uretrfMA-Io,2.4791895837636664e+18,@mr_fenix_23 ( YouTube channel name : Access ) https://youtu.be/uretrfMA-Io,42.0,,42.0,instagram_comments_4_months_7
8,https://youtu.be/uretrfMA-Io,2.4791895837636664e+18,@mr_fenix_23 ( YouTube channel name : Access ) https://youtu.be/uretrfMA-Io,42.0,,42.0,instagram_comments_4_months_8
9,https://youtu.be/uretrfMA-Io,2.4791895837636664e+18,@mr_fenix_23 ( YouTube channel name : Access ) https://youtu.be/uretrfMA-Io,42.0,,42.0,instagram_comments_4_months_9
10,http://chng.it/w8RnpBfD2f,2.515802777203286e+18,@seba.ignaciio_nr http://chng.it/w8RnpBfD2f,33.0,,33.0,instagram_comments_4_months_10
11,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,30.0,,30.0,instagram_comments_4_months_11
12,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,30.0,,30.0,instagram_comments_4_months_12
13,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,30.0,,30.0,instagram_comments_4_months_13
14,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,23.0,,23.0,instagram_comments_4_months_14
15,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,23.0,,23.0,instagram_comments_4_months_15
16,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,23.0,,23.0,instagram_comments_4_months_16
17,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/22868-mortes-violentas-atingem-ate-11-vezes-mais-homens-que-mulheres-jovens,2.481553517112598e+18,@_rrogerr https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/22868-mortes-violentas-atingem-ate-11-vezes-mais-homens-que-mulheres-jovens.  Da uma lida,23.0,,23.0,instagram_comments_4_months_17
