id,text,defense_AH,support_AH,offense_AH,defense_against_AH
1,"good and gorgeous actress, has much potential and talent",0,1,0,0
2,I like her very much😏,0,1,0,0
3,yes. I recommend about Amber Heard💋.. because she's very beautiful and Talented young actors.. Then she is my soul friend and feminist and Gorgeous girl. I always love with her.,1,1,0,0
4,Amber is best. actually she is emperor of ocean. She’s strong and beautiful.,1,1,0,0
5,She is superb and cool. Cannot wait to see more! Amber Heard is 'super excited' for 'Zack Snyder's Justice League' after wrapping up reshoots. 'I just love nerds.',1,1,0,0
6,"I'm super excited about the amount of fan love and the amount of fan appreciation that Aquaman has acquired and that it has garnered so much excitement for Aquaman and Mera that it means we'll be coming back,"" Heard said. ""I'm so excited to film that."" #AmberHeard",1,1,0,0
7,"Amber Heard is an amazing actress, and perfectly suits the role she stars in aquaman. Axing her will ruin the sequel for a lot of people. She’s a victim of media sensationalism and propaganda.",1,1,0,0
8,"If we never heard of Amber through Hollywood, one thing is for sure: We would have learned of Amber through her works as a citizen of the world. She is a fantastic choice for any group looking for some much-needed inspiration from a woman who walks day-to-day.",1,1,0,0
9,"Looking to be a contribution, which is something we all can strive to do.",0,0.5,0,0
10,#AmberHeard #JusticeForAmberHeard #wearewithyouamberheard,1,1,0,0
11,"Amber Heard is inspirational. On November 2, a judge ruled that the allegations against Depp were “substantially true” and that he was violent towards Amber.",1,1,0,0
12,"While Depp denied claims in a 2018 Sun article, which labelled him a “wife beater”, Amber stood firm and in solidarity with NGN news to ensure that the truth prevailed.",1,1,0,0
13,"We defend Amber Heard and human rights. We would prevent violence and abuse of women, in person or online. Glad for everyone who would stop domestic abuse. Staff were on NDAs and stopped interfering.",1,1,0,0
14,"Beautiful, strong and intelligent woman. A little kinky and crazy too 😍😘 what’s not to love. ❤️",0,1,0,0
15,"Amber Heard is the victim and she deserves respect. Depp also mistreated a female executive of Warner Bros, after being put onstage with Amber despite a restraining order prior.",1,1,0,0
16,And he paid 1.25 million in a private settlement to his first wife after a long racist texts tirade!,1,1,0,0
17,"Backstage, tensions erupted between Depp and Rich, according to eyewitnesses, and Rich later complained to colleagues that Depp spoke to her in a menacing manner.",1,1,0,0
18,What is up with people? Can they not see what kind of a person Amber Heard is? She truly has a heart of gold and being not just her fan but a human being I belive and completely suppport her. And if you don't want to believe her look at the statistics. There is zero proof whatsoever that Heard ever abused even an ant let alone her ex-husband. So the makers of Aquaman 2 need to open their eyes in order to be able to see the truth. I wish Amber all of the needful luck.,1,1,0,0
19,"she is like my sister ... good , generous person as per me...",0,1,0,0
20,I believe in amber heard and everything she stands for. I always support her,1,1,0,0
