name,comment
Rodney Ives Collen,I love how Amber Heard also looks so pretty as a brunette.
Blake Butterworth,Is this meant to be a sequel to that True Story film Franco and Jonah Hill made?
manbolo2,so at the en he suddenly remembers everything? that his father was a nice guy and he was a spoiled brat?
reginald56000,Cant Remove the Stoner Vibe of James Franco -_-
TheKle1987,I love james franco but his movies aren't that good. Like palo alto.. Crap... Wtf james..
Knee Wobbler,James Franco has so much screen time that I reckon he has a twin brother...
