source,target,frequency
aviaum,JamesShala1,10
aviaum,TeriCarson,11
aviaum,J3nn1f34,16
aviaum,jennifermoreluv,16
aviaum,P60P45,18
aviaum,joannhe69142860,19
aviaum,TildaBeau,18
aviaum,StaceySkirving2,21
aviaum,PlzeExplain512,26
aviaum,Binx1969,17
aviaum,RobinSi56774599,21
aviaum,DevaMarie,14
aviaum,ElizaDFTW,18
aviaum,DeppSoldier_22,22
aviaum,Stephan76215148,15
aviaum,1coolwhipp,19
aviaum,Angiex0101,17
aviaum,AljacobRds,16
aviaum,Vaidaelena,16
aviaum,roxx8825,12
aviaum,MenCouragePH,9
aviaum,Camilaalustiza3,20
aviaum,sweetestsands,18
aviaum,vipbeck1,11
aviaum,Platoon1979,15
aviaum,natassjamichele,11
aviaum,CristaLea11,9
aviaum,Gwennafran,19
aviaum,scryndi,13
aviaum,LaurelsCouture,12
aviaum,Beeee51,14
aviaum,DeppFanPage,17
aviaum,sheilaw654321,17
aviaum,MATRIX_EXPRESS,9
aviaum,BritFanofDepp,10
aviaum,Om39472295,11
aviaum,JobsSummary,2
aviaum,1009REDkml,12
aviaum,LearnToEvolve,18
aviaum,depp_giulia,16
aviaum,meritt_5,12
aviaum,CherylD59995761,17
aviaum,keep_itt_movinn,13
aviaum,nonunnun,15
aviaum,JustMe_Katiebee,15
aviaum,juliet_502,10
aviaum,Devaneytattoos,6
aviaum,NanoBitcoin,12
aviaum,delloliod,11
aviaum,Rebecca91921211,11
aviaum,TheFayeJones,8
aviaum,Kboots4Ever,15
aviaum,f_liono,11
aviaum,jigglebugs,9
aviaum,nearlydear,11
aviaum,Rebeca29736893,11
aviaum,lenlins11,15
aviaum,jayneb68910675,13
aviaum,MaraTahler,14
aviaum,PrincessRump,11
aviaum,ElisaDa93617847,14
aviaum,KeeleyTalks,9
aviaum,jdeppjustice,11
aviaum,KimmhyDepp,9
aviaum,kermccoy,11
aviaum,AutistLady,7
aviaum,Generalzodfz,10
aviaum,rainyRainey_,17
aviaum,VirginMick,13
aviaum,SweetChastityYT,12
aviaum,BeSafeAndSmile,17
aviaum,lion_witch,9
aviaum,Ral314,14
aviaum,classicpaws1,10
aviaum,heleboll,11
aviaum,RosePagaza,9
aviaum,NickyWiresDyson,15
aviaum,MotivatorNet2,3
aviaum,PamelaMcCaffer8,13
aviaum,4teslayan,22
aviaum,TUmberella,9
aviaum,Alejandraadepp,12
aviaum,OdeToWhiskey,14
aviaum,DorkAngel,10
aviaum,HoraeOf,14
aviaum,CoffeePowerrr,11
aviaum,cesramirz,13
aviaum,centauri_27,12
aviaum,RideOrDis,13
aviaum,MarjiSamaa,12
aviaum,beharry_carlton,1
aviaum,Noneofthemknew1,13
aviaum,BeharryChriston,1
aviaum,N3onRobot,5
aviaum,barrysgibb,7
aviaum,LunasLifeArt,4
aviaum,JohnLe412,11
aviaum,FlamenRed,12
aviaum,Bhr14475543,11
aviaum,KKheir2,13
aviaum,TdpAtlaTlok,11
aviaum,bryzwyf,11
aviaum,JarOfTurd,9
aviaum,Truth950272741,13
aviaum,MadisonMcNamee4,1
aviaum,DeppMovieNight,12
aviaum,PrinConsuella_,13
aviaum,StyleWorldss,1
aviaum,1InquiringMind,11
aviaum,Irina_Skywalker,11
aviaum,BraveMoonGirl1,10
aviaum,Labood5,2
aviaum,80sDepphead,12
aviaum,AuroraMignon,7
aviaum,mrsdepp_head,15
aviaum,Stormember,14
aviaum,milko976,14
aviaum,whystherumgone_,13
aviaum,movallegnchis,8
aviaum,GhostsOfRus,11
aviaum,tnshadylady,10
aviaum,Mellow91648573,10
aviaum,YMe21211,10
aviaum,PinkyPie_9912_,12
aviaum,FrancesMarieMc1,9
aviaum,VanessaWCheese,11
aviaum,TopDepp,8
aviaum,IngColombo,1
aviaum,Berenice343,11
aviaum,VictoriaBreakw1,9
aviaum,BIGDaddio29,7
aviaum,WeSeeTheTruth,7
aviaum,Mitra99725842,11
aviaum,HoneyHa10321850,14
aviaum,Tania__01,11
aviaum,registry_e,2
aviaum,havenotjones205,1
aviaum,Grindelwald1999,9
aviaum,DiamondHightopp,8
aviaum,JDeppChile,8
aviaum,JDForeverUK,10
aviaum,ajberry_collins,10
aviaum,LoisWalchelin13,10
aviaum,LauraM95122973,11
aviaum,LoralieDee14,11
aviaum,UniversoDCComic,3
aviaum,underblanket2,13
aviaum,Patcar67465749,9
aviaum,Aishacat5,15
aviaum,abyssofwords,12
aviaum,DeppUnited,4
aviaum,evjsboutique,2
aviaum,SallyStar7,8
aviaum,beecoz3001,2
aviaum,mcdaid_k,9
aviaum,TammyShoemake18,12
aviaum,TheUSATruckers,1
aviaum,HumynBeing,9
aviaum,correctacon,8
aviaum,CindyHarriman,11
aviaum,nikkban,13
aviaum,Loree_Poncee,5
aviaum,CaptainBoolBool,12
aviaum,KarMarDanMik,12
aviaum,KeyCharleston,7
aviaum,Bonus_BitCoin_,2
aviaum,SheaOSullivan2,7
aviaum,JCrowe05780973,11
aviaum,spirituallyemp1,7
aviaum,RoseKathleen7,10
aviaum,DownsLarche,9
aviaum,Pussyga96828631,30
aviaum,CRommerud,11
aviaum,bairdbeth64,8
aviaum,hn_i9q,11
aviaum,Melinda15199317,9
aviaum,thatdepphead,9
aviaum,voodievoo,9
aviaum,edward_bi_qechi,7
aviaum,SpeakOfTheDev13,10
aviaum,AderynTheHylian,8
aviaum,rum_gone,10
aviaum,johnny_justice4,9
aviaum,EvidenceMatter1,10
aviaum,EleanaBelle,7
aviaum,teamdepp_,8
aviaum,terrytabby,8
aviaum,jaxfin1,10
aviaum,Cazbott,6
aviaum,faylovesflowers,8
aviaum,just_charley,8
aviaum,donotfa45608560,12
aviaum,Savannah8738000,11
aviaum,Windali,8
aviaum,WCmeshfighter,5
aviaum,KellySmahlt,10
aviaum,leahb817,9
aviaum,tepa_t,11
aviaum,ZoeyZoeyo,11
aviaum,Thefickle_muse,8
aviaum,DrCatPanda,8
aviaum,ikveliashvili,6
aviaum,MnikM1,8
aviaum,patitopanhead,11
aviaum,thewordsofkacie,9
aviaum,BOLDn4Luv_Truth,4
aviaum,lorestark4,13
aviaum,Kris_Wils38,10
aviaum,dapsdigitalz,1
aviaum,RenB09,3
aviaum,ADrdya,2
aviaum,EvolvedHsapiens,11
aviaum,Its_Just_me_52,6
aviaum,AraujoMartinski,10
aviaum,SouthernGirlTea,11
aviaum,miaa1_7,9
aviaum,MarcusVegetable,2
aviaum,ellieoriginal1,9
aviaum,plove2963,12
aviaum,LiannetMorales,6
aviaum,ivaniacolomba,3
aviaum,Cookiebuu1963,7
aviaum,brettstagg,1
aviaum,myrealliving,1
aviaum,bacacov,7
aviaum,davinder_pb_16,1
aviaum,LouiseHatfiel16,7
aviaum,JackEntot,2
aviaum,VeryLonlySolo,8
aviaum,blankblueberry,8
aviaum,IngeborgKK,11
aviaum,Wholelotta888,7
aviaum,AveHudenuf,9
aviaum,misueu1,11
aviaum,Raphal34805165,1
aviaum,LisaMacWitch,11
aviaum,EdwinKanu,1
aviaum,crylindemann,1
aviaum,Sharriska,10
aviaum,A80577549,8
aviaum,MrsFluffyBunny2,10
aviaum,DeppDiary,8
aviaum,westheedy,1
aviaum,GraceKellllyyyy,6
aviaum,Cristy13885219,6
aviaum,agp2039,9
aviaum,Sleepychichi,7
aviaum,CypressAndStars,8
aviaum,KAssamite,6
aviaum,fyffwonder,1
aviaum,Kuntryswagger1,9
aviaum,AmandaJane333,5
aviaum,PRAJWALCHAUHA26,1
aviaum,pomta5426,6
aviaum,wonderxbrave,1
aviaum,ChristineHogar1,12
aviaum,StateyTeam,1
aviaum,SandyP_88,8
aviaum,JCD_Libertine,6
aviaum,WatchGunfight,1
aviaum,EssayWritingEx1,1
aviaum,lucy_lou_94,7
aviaum,HyslopKayleigh,9
aviaum,thefordtweets,6
aviaum,Just_sarah_420,7
aviaum,Robo12618295,7
aviaum,seedoftruth1,9
aviaum,johnnysjustice,7
aviaum,xuugu,7
aviaum,KosaDanielle,9
aviaum,Tacobel12080654,10
aviaum,mrdeppourhero,8
aviaum,_kathblack,10
aviaum,Shadow98mc,5
aviaum,Cutlet_Beckett,7
aviaum,disintegrating,8
aviaum,Meli_Mel_82,8
aviaum,JohnnysAngel3,12
aviaum,SIRDAVIDRABE,6
aviaum,damoon1988,9
aviaum,_eneeson,9
aviaum,SamWin50,7
aviaum,JahelRocio,2
aviaum,_aimsy_,9
aviaum,_V_I_C_K_I__666,7
aviaum,trayraynightmre,8
aviaum,barzaine,11
aviaum,PutinRF_Eng2021,1
aviaum,Pinkprincess027,10
aviaum,Scookey2045,8
aviaum,Riversrpeace,5
aviaum,KrisWalkerGoens,5
aviaum,zara_zohl,7
aviaum,amethystnena,3
aviaum,JoannaWoodley3,10
aviaum,emreiyneth,10
aviaum,La_Julica,6
aviaum,RonanKhan13,5
aviaum,LittlePeeps1963,5
aviaum,helpmen2,9
aviaum,LovingJohnnyD,9
aviaum,BlueGansey1,9
aviaum,_InNeverland,8
aviaum,cherryagron,1
aviaum,ChieduIkechukwu,1
aviaum,KatKatButterfly,4
aviaum,HonourPeriod,8
aviaum,magicdesign2021,1
aviaum,adsnre,1
aviaum,yeskaryta,8
aviaum,V_for_Violetta_,10
aviaum,penny_mystance,12
aviaum,Sailthe5Oceans,11
