" "," "
"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","341,417"
"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","265,243"
"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","255,017"
"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","29,721"
"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","20,929"
"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","10,240"
"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","8,487"
"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","7,803"
"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","7,320"
"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>","3,006"
"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","2,112"
"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>","2,082"
"<a href=""Http://deckvip.com"" rel=""nofollow"">nanotwitter</a>","2,002"
"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","1,748"
"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","1,741"
Other,"26,532"
