id,url,title,description,response
jK0kNcBJvWM,https://www.youtube.com/watch?v=jK0kNcBJvWM,Johnny Depp says he &#39;never hit&#39; ex-wife Amber Heard as libel case continues,"LONDON (AP) — Johnny Depp denied hitting ex-wife Amber Heard in a jealous rage, as he was cross-examined Wednesday by ...",because the YouTube account associated with this video has been terminated
uOB5vI32wVQ,https://www.youtube.com/watch?v=uOB5vI32wVQ,Amber Heard names new dog after Australian minister embroiled in feud||&quot;AS NEWS,Amber Heard names new dog after Australian minister embroiled in feud Amber Heard names new dog after Australian minister ...,This video has been removed by the uploader
AUDEKdWDBXE,https://www.youtube.com/watch?v=AUDEKdWDBXE,Johnny Depp and Amber Heard Abuse claims: Amber ADMITS to multiple attacks,,This video has been removed by the uploader
vM9otYEvQhc,https://www.youtube.com/watch?v=vM9otYEvQhc,JOHNNY DEPP AND AMBER HEARD | COUPLE | WHATSAPP STATUS | 4K | CAPTAIN JACK SPARROW | ATTITUDE | HD,johnnydeppandamberheard #musicuniverse #jacksparrow.,This video has been removed by the uploader
Maycm09a6qA,https://www.youtube.com/watch?v=Maycm09a6qA,(NEW AUDIO) Amber Heard &amp; Johnny Depp Secret Meeting in San Francisco,,This video has been removed by the uploader
w7d2dzs9dfQ,https://www.youtube.com/watch?v=w7d2dzs9dfQ,James Franco To Be Deposed In Johnny Depp’s Lawsuit Against Ex-Wife Amber Heard,"Actor James Franco, fresh off his first comments since being accused of sexual harassment in 2018, will be deposed as part of ...",This video has been removed by the uploader
DbWiXvKLhZo,https://www.youtube.com/watch?v=DbWiXvKLhZo,"Johnny Depp admits to &#39;challenges with alcoholism and addiction,&#39; but insists Amber Heard abuse clai","Johnny Depp admits to 'challenges with alcoholism and addiction,' but insists Amber Heard abuse claims are false Johnny Depp's ...",This video has been removed by the uploader
wijz69sJQes,https://www.youtube.com/watch?v=wijz69sJQes,Johnny v Amber Documentary | Private Investigator,Amber Heard hired a Private Investigator who only found positive things to say about Johnny Depp. #johnnydepp #amberheard.,This video has been removed by the uploader
SVqvwTx2FkI,https://www.youtube.com/watch?v=SVqvwTx2FkI,amber Heard sexy scene 🥰🥰🥰🥰😘😘😘😘😘,"amber heard status, amber heard whatsapp status, amber heard johnny depp, amber heard movie, amber heard interview, amber ...",because the YouTube account associated with this video has been terminated.
lF44yFGLkJE,https://www.youtube.com/watch?v=lF44yFGLkJE,Amber Heard Hot Scenes 4K,AmberHeard #HotScenes #Hollywood - Like - Share - Subcribe Subcribe My Channel For More KeyWords #Amberheard ...,This video has been removed by the uploader
yQhlWYputdw,https://www.youtube.com/watch?v=yQhlWYputdw,Hollywood Actress Amber Heard with her ex-husband Johnny Depp,Hollywood Actress Amber Heard with her ex-husband Johnny Depp.,This video has been removed by the uploader
Jgfms5p8Kpo,https://www.youtube.com/watch?v=Jgfms5p8Kpo,bruh amber alert,lmao ever heard of something called get good kid? (thats my bro btw),This video is private
CkK8uD9zqpo,https://www.youtube.com/watch?v=CkK8uD9zqpo,Johnny Depp &amp; Amber Heard: The Truth [Synastry Chart Reading #3],"Johnny Depp & Amber Heard: The Truth [Synastry Chart Reading #3] In today's synastry chart reading, I will be looking into ...",This video is private
