kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.regionRestriction.blocked,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,contentDetails.contentRating.ytRating
youtube#video,-UHDyYe7FmJRqQXncs2REGCatGU,-atCR_TISes,2021-03-17T15:07:06Z,UCZJ8Vxj-MdzcTQ8I5yQfujg,El HORRIBLE Asesinato de JESSICA CHAMBERS (Real) | EssarRock,"Cuando Jessica Chambers fue encontrada en su auto en llamas en 2014, comenzó el caso. ¿Quién podría hacer algo como esto? 
La policía nunca se rindió, pero cuando finalmente atraparon al sospechoso, resultó ser más siniestro de lo que podían imaginar. Y entonces comenzó el juicio, que pareció un desastre.

SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIENDO, PARA ASÍ PODER SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

#JessicaChambers #QuintonTellis #MeingChenHsiao",https://i.ytimg.com/vi/-atCR_TISes/default.jpg,120,90,https://i.ytimg.com/vi/-atCR_TISes/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-atCR_TISes/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-atCR_TISes/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-atCR_TISes/maxresdefault.jpg,1280.0,720.0,ER Misterios,"['jessica chambers', 'español', 'documental', 'quemado vivo', 'quemada viva', 'quinton tellis', 'mississippi', 'misisipi', 'muerte', 'fuego', 'llamas', 'meing', 'chen', 'hsiao', 'crimen', 'crimen real', 'quemada real', 'videos de crimenes', 'documental jesica chambers', 'casos policiales', 'investigacion criminal', 'courtland', 'juicio', 'jessica quemada', 'misterio', 'juicio nulo', 'Jessica', 'Chambers', 'crimen sin resolver', 'porrista', 'jurado', 'casos infames jessica chambers', 'caso jessica chamber', 'casos infames', 'el caso de jessica chambers']",24,none,El HORRIBLE Asesinato de JESSICA CHAMBERS (Real) | EssarRock,"Cuando Jessica Chambers fue encontrada en su auto en llamas en 2014, comenzó el caso. ¿Quién podría hacer algo como esto? 
La policía nunca se rindió, pero cuando finalmente atraparon al sospechoso, resultó ser más siniestro de lo que podían imaginar. Y entonces comenzó el juicio, que pareció un desastre.

SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIENDO, PARA ASÍ PODER SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

#JessicaChambers #QuintonTellis #MeingChenHsiao",PT21M55S,2d,hd,false,False,"['AD', 'AE', 'AF', 'AG', 'AI', 'AL', 'AM', 'AO', 'AQ', 'AR', 'AS', 'AT', 'AU', 'AW', 'AX', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BL', 'BM', 'BN', 'BO', 'BQ', 'BR', 'BS', 'BT', 'BV', 'BW', 'BY', 'BZ', 'CA', 'CC', 'CD', 'CF', 'CG', 'CH', 'CI', 'CK', 'CL', 'CM', 'CN', 'CO', 'CR', 'CU', 'CV', 'CW', 'CX', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'EH', 'ER', 'ES', 'ET', 'FI', 'FJ', 'FK', 'FM', 'FO', 'FR', 'GA', 'GB', 'GD', 'GE', 'GF', 'GG', 'GH', 'GI', 'GL', 'GM', 'GN', 'GP', 'GQ', 'GR', 'GS', 'GT', 'GU', 'GW', 'GY', 'HK', 'HM', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IM', 'IN', 'IO', 'IQ', 'IR', 'IS', 'IT', 'JE', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KP', 'KR', 'KW', 'KY', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'LY', 'MA', 'MC', 'MD', 'ME', 'MF', 'MG', 'MH', 'MK', 'ML', 'MM', 'MN', 'MO', 'MP', 'MQ', 'MR', 'MS', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NC', 'NE', 'NF', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NU', 'NZ', 'OM', 'PA', 'PE', 'PF', 'PG', 'PH', 'PK', 'PL', 'PM', 'PN', 'PR', 'PS', 'PT', 'PW', 'PY', 'QA', 'RE', 'RO', 'RS', 'RU', 'RW', 'SA', 'SB', 'SC', 'SD', 'SE', 'SG', 'SH', 'SI', 'SJ', 'SK', 'SL', 'SM', 'SN', 'SO', 'SR', 'SS', 'ST', 'SV', 'SX', 'SY', 'SZ', 'TC', 'TD', 'TF', 'TG', 'TH', 'TJ', 'TK', 'TL', 'TM', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'UM', 'US', 'UY', 'UZ', 'VA', 'VC', 'VE', 'VG', 'VI', 'VN', 'VU', 'WF', 'WS', 'YE', 'YT', 'ZA', 'ZM', 'ZW']",rectangular,processed,public,youtube,True,True,False,73284,1206,0,63,
youtube#video,-Wa40KimMjy4Wvt0QKRJXBVF1ak,-dVeB7TaWak,2021-11-10T01:15:32Z,UCZJ8Vxj-MdzcTQ8I5yQfujg,Brian Laundrie: Mujer CONTINÚA en la BÚSQUEDA de sus RESTOS! Brian estaba OBSESIONADO con el JOKER!?,"Brian Laundrie: Mujer CONTINÚA en la BÚSQUEDA de sus RESTOS! Brian estaba OBSESIONADO con el JOKER!?

SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

Música► https://www.youtube.com/watch?v=ttx-KwDSRgg&list=PLz-EO5NkwaYZJpdeX7L-H67VAbMrQ_Zti&ab_channel=PowerMusicFactory

#BrianLaundrie #GabbyPetito",https://i.ytimg.com/vi/-dVeB7TaWak/default.jpg,120,90,https://i.ytimg.com/vi/-dVeB7TaWak/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-dVeB7TaWak/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-dVeB7TaWak/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-dVeB7TaWak/maxresdefault.jpg,1280.0,720.0,ER Misterios,"['brian laundrie', 'gaby petito', 'gabby petito', 'brian laundry', 'en español', 'español', 'caso', 'noticias']",24,none,Brian Laundrie: Mujer CONTINÚA en la BÚSQUEDA de sus RESTOS! Brian estaba OBSESIONADO con el JOKER!?,"Brian Laundrie: Mujer CONTINÚA en la BÚSQUEDA de sus RESTOS! Brian estaba OBSESIONADO con el JOKER!?

SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

Música► https://www.youtube.com/watch?v=ttx-KwDSRgg&list=PLz-EO5NkwaYZJpdeX7L-H67VAbMrQ_Zti&ab_channel=PowerMusicFactory

#BrianLaundrie #GabbyPetito",PT2M51S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,9476,316,0,52,
youtube#video,tjscHUfLH824ZplmujqF-nfZhRk,-YLpzy7YX6Y,2022-01-31T15:25:53Z,UCZJ8Vxj-MdzcTQ8I5yQfujg,El DESGARRAD0R CASO de KRISTEN GALVAN,"SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

Música► https://www.youtube.com/watch?v=ttx-KwDSRgg&list=PLz-EO5NkwaYZJpdeX7L-H67VAbMrQ_Zti&ab_channel=PowerMusicFactory

#KristenGalvan #RobynBennett",https://i.ytimg.com/vi/-YLpzy7YX6Y/default.jpg,120,90,https://i.ytimg.com/vi/-YLpzy7YX6Y/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-YLpzy7YX6Y/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-YLpzy7YX6Y/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-YLpzy7YX6Y/maxresdefault.jpg,1280.0,720.0,ER Misterios,"['er misterios', 'kristen galvan', 'robyn bennett', 'caso real', 'caso abierto', 'caso no resuelto', 'caso de desaparicion']",24,none,El DESGARRAD0R CASO de KRISTEN GALVAN,"SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

Música► https://www.youtube.com/watch?v=ttx-KwDSRgg&list=PLz-EO5NkwaYZJpdeX7L-H67VAbMrQ_Zti&ab_channel=PowerMusicFactory

#KristenGalvan #RobynBennett",PT3M46S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,9143,298,0,31,
youtube#video,XL1zAai5ZY86VCc-9QMyKkYtuWc,-zelUp3hcaQ,2022-05-09T20:03:38Z,UCZJ8Vxj-MdzcTQ8I5yQfujg,Johnny Depp se MOLESTA con abogado de Amber por ser rudo con un testigo,"SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

Música► https://www.youtube.com/watch?v=ttx-KwDSRgg&list=PLz-EO5NkwaYZJpdeX7L-H67VAbMrQ_Zti&ab_channel=PowerMusicFactory

#JohnnyDepp #AmberHeard #Juicio",https://i.ytimg.com/vi/-zelUp3hcaQ/default.jpg,120,90,https://i.ytimg.com/vi/-zelUp3hcaQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-zelUp3hcaQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-zelUp3hcaQ/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-zelUp3hcaQ/maxresdefault.jpg,1280.0,720.0,ER Misterios,"['er misterios', 'noticias', 'johnny depp juicio', 'amber heard juicio', 'johnny depp trial', 'sean bett', 'seguridad de johnny depp', 'guardia de johnny depp', 'johnny depp lo ultimo', 'johnny depp juicio 2022', 'johnny depp vs amber heard español', 'johnny deep gana juicio', 'johnny depp juicio en vivo', 'johnny depp vs amber heard', 'johnny depp vs amber heard caso completo', 'johnny depp testifica', 'johnny depp declara']",24,none,Johnny Depp se MOLESTA con abogado de Amber por ser rudo con un testigo,"SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

Música► https://www.youtube.com/watch?v=ttx-KwDSRgg&list=PLz-EO5NkwaYZJpdeX7L-H67VAbMrQ_Zti&ab_channel=PowerMusicFactory

#JohnnyDepp #AmberHeard #Juicio",PT55S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,11006,387,0,27,
youtube#video,l4j-ZcyoM_2JUQCKVZCC3qjJ73o,0GZktprE8U4,2021-10-20T21:49:17Z,UCZJ8Vxj-MdzcTQ8I5yQfujg,Brian Laundrie ENCONTRADO!? Sus PERTENENCIAS son HALLADAS y ¿Su CUERPO También?,"Después de una breve búsqueda en un sendero que Brian frecuentaba, se encontraron algunos artículos pertenecientes al hijo fugitivo de los Laundrie.

Y en estos precisos momentos, la policía está llevando a cabo una investigación más exhaustiva de esa área.

SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

#BrianLaundrie #GabbyPetito #Cuerpo",https://i.ytimg.com/vi/0GZktprE8U4/default.jpg,120,90,https://i.ytimg.com/vi/0GZktprE8U4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0GZktprE8U4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0GZktprE8U4/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/0GZktprE8U4/maxresdefault.jpg,1280.0,720.0,ER Misterios,"['gabby petito', 'brian laundrie', 'brian laundrie encontrado', 'brian laundrie hallado', 'brian laundrie bicicleta', 'brian laundrie busqueda', 'el caso de gaby petito', 'brian laundrie muerto', 'brian laundrie padres', 'brian laundrie reserva carlton', 'brian laundrie padre', 'brian laundrie video', 'gaby petito padres', 'gabby petito madre', 'brian laundrie hoy', 'brian laundrie cuerpo', 'brian laundrie vivo', 'brian laundrie ropa', 'brian laundrie noticias', 'gabby petito en español', 'brian laundrie fbi']",24,none,Brian Laundrie ENCONTRADO!? Sus PERTENENCIAS son HALLADAS y ¿Su CUERPO También?,"Después de una breve búsqueda en un sendero que Brian frecuentaba, se encontraron algunos artículos pertenecientes al hijo fugitivo de los Laundrie.

Y en estos precisos momentos, la policía está llevando a cabo una investigación más exhaustiva de esa área.

SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

#BrianLaundrie #GabbyPetito #Cuerpo",PT2M42S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,40029,843,0,280,
youtube#video,CJ3GDkJLO7psdh5pxCuhu-pRlSY,0IQKPRUuolY,2022-02-10T15:39:53Z,UCZJ8Vxj-MdzcTQ8I5yQfujg,Con SOLO 5 AÑOS VIVIÓ algo T3RRIBLE | El Caso de RAYAN ORAM,"SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

Música► https://www.youtube.com/watch?v=ttx-KwDSRgg&list=PLz-EO5NkwaYZJpdeX7L-H67VAbMrQ_Zti&ab_channel=PowerMusicFactory

#RayanOram #Marruecos #Pozo",https://i.ytimg.com/vi/0IQKPRUuolY/default.jpg,120,90,https://i.ytimg.com/vi/0IQKPRUuolY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0IQKPRUuolY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0IQKPRUuolY/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/0IQKPRUuolY/maxresdefault.jpg,1280.0,720.0,ER Misterios,"['rayan oram', 'maruecos', 'er misterios', 'pozo', '32 metros', '30 metros', 'fondo del pozo', 'caso real', 'caso abierto', 'caso misterioso']",24,none,Con SOLO 5 AÑOS VIVIÓ algo T3RRIBLE | El Caso de RAYAN ORAM,"SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

Música► https://www.youtube.com/watch?v=ttx-KwDSRgg&list=PLz-EO5NkwaYZJpdeX7L-H67VAbMrQ_Zti&ab_channel=PowerMusicFactory

#RayanOram #Marruecos #Pozo",PT3M29S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,3978,195,0,33,
youtube#video,IurKAPcymuKBGyJunom7kvUyzfQ,0RBXPGUgHik,2021-12-13T22:45:00Z,UCZJ8Vxj-MdzcTQ8I5yQfujg,DESAPARECIERON días antes de NAVIDAD || El caso de los Hermanos West,"SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

Música► https://www.youtube.com/watch?v=ttx-KwDSRgg&list=PLz-EO5NkwaYZJpdeX7L-H67VAbMrQ_Zti&ab_channel=PowerMusicFactory

#OrrinWest #OrsonWest #HermanosWest",https://i.ytimg.com/vi/0RBXPGUgHik/default.jpg,120,90,https://i.ytimg.com/vi/0RBXPGUgHik/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0RBXPGUgHik/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0RBXPGUgHik/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/0RBXPGUgHik/maxresdefault.jpg,1280.0,720.0,ER Misterios,"['orson west', 'orrin west', 'trezell west', 'jaqueline west', 'persona desaparecida', 'caso real', 'caso resuelto', 'caso sin resolver', 'caso no resuelto', 'crimen real', 'camara de vigilancia', 'grabado en video', 'podcast', 'documental en español']",24,none,DESAPARECIERON días antes de NAVIDAD || El caso de los Hermanos West,"SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

Música► https://www.youtube.com/watch?v=ttx-KwDSRgg&list=PLz-EO5NkwaYZJpdeX7L-H67VAbMrQ_Zti&ab_channel=PowerMusicFactory

#OrrinWest #OrsonWest #HermanosWest",PT6M6S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,4365,232,0,25,
youtube#video,LvCbnp6xG0ZRibdNFOfbhs6lvoc,0tqK84443OA,2021-05-19T02:00:41Z,UCZJ8Vxj-MdzcTQ8I5yQfujg,REAL: La DESAPARICIÓN de HANNAH GRAHAM,"Hannah Graham desapareció sin dejar rastro. Curiosamente, Morgan Harrington también desapareció en la misma ciudad cinco años antes. 
Esto llevó a la policía a Jesse Matthew, quien no solo era responsable de esos dos casos, sino quizás hasta una docena de casos sin resolver más.


SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIENDO, PARA ASÍ PODER SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

#HannahGraham #JesseMatthew #Desaparicion",https://i.ytimg.com/vi/0tqK84443OA/default.jpg,120,90,https://i.ytimg.com/vi/0tqK84443OA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0tqK84443OA/hqdefault.jpg,480,360,,,,,,,ER Misterios,"['essar', 'essarrock', 'hannah graham', 'jesse matthew', 'morgan harrington', 'rg', 'metallica', 'james hetfield', 'concierto', 'desaparicion', 'caso real', 'crimen real', 'asesino en serie', 'caso misterioso', 'historias de crimenes', 'historias misteriosas', 'caso resuelto', 'caso no resuelto', 'misterio resuelto', 'real', 'asesinato', 'muerte', 'criminales', 'videos de investigacion', 'español', 'videos policiales', 'reales', 'secuestro', 'investigacion policial', 'detectives', 'busqueda', 'familia', 'luto', 'universitaria', 'asesino serial', 'violador']",24,none,REAL: La DESAPARICIÓN de HANNAH GRAHAM,"Hannah Graham desapareció sin dejar rastro. Curiosamente, Morgan Harrington también desapareció en la misma ciudad cinco años antes. 
Esto llevó a la policía a Jesse Matthew, quien no solo era responsable de esos dos casos, sino quizás hasta una docena de casos sin resolver más.


SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIENDO, PARA ASÍ PODER SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

#HannahGraham #JesseMatthew #Desaparicion",PT17M39S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,3474,180,0,11,
youtube#video,s9K0b5ass86cru4KF9SB6Qd2xoQ,0XhjQHqEYhU,2022-04-26T00:44:56Z,UCZJ8Vxj-MdzcTQ8I5yQfujg,Johnny Depp habla de haber sido RETIRADO de las películas de Piratas del Caribe,"SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

Música► https://www.youtube.com/watch?v=ttx-KwDSRgg&list=PLz-EO5NkwaYZJpdeX7L-H67VAbMrQ_Zti&ab_channel=PowerMusicFactory

#JohnnyDepp #AmberHeard #Juicio",https://i.ytimg.com/vi/0XhjQHqEYhU/default.jpg,120,90,https://i.ytimg.com/vi/0XhjQHqEYhU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0XhjQHqEYhU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0XhjQHqEYhU/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/0XhjQHqEYhU/maxresdefault.jpg,1280.0,720.0,ER Misterios,"['er misterios', 'noticias', 'johnny depp juicio', 'amber heard juicio', 'johnny depp trial', 'sean bett', 'seguridad de johnny depp', 'guardia de johnny depp', 'johnny depp lo ultimo', 'johnny depp juicio 2022', 'johnny depp vs amber heard español', 'johnny deep gana juicio', 'johnny depp juicio en vivo', 'johnny depp vs amber heard', 'johnny depp vs amber heard caso completo', 'johnny depp testifica', 'johnny depp declara']",24,none,Johnny Depp habla de haber sido RETIRADO de las películas de Piratas del Caribe,"SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

Música► https://www.youtube.com/watch?v=ttx-KwDSRgg&list=PLz-EO5NkwaYZJpdeX7L-H67VAbMrQ_Zti&ab_channel=PowerMusicFactory

#JohnnyDepp #AmberHeard #Juicio",PT5M18S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,771224,7306,0,1037,
youtube#video,JqIC60sfaCeqUukf_-FckcX1Bcc,0XsX4zRmewk,2022-05-05T22:56:17Z,UCZJ8Vxj-MdzcTQ8I5yQfujg,Johnny Depp ASUSTA a Amber Heard durante su salida de la Corte,"SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

Música► https://www.youtube.com/watch?v=ttx-KwDSRgg&list=PLz-EO5NkwaYZJpdeX7L-H67VAbMrQ_Zti&ab_channel=PowerMusicFactory

#JohnnyDepp #AmberHeard #Juicio",https://i.ytimg.com/vi/0XsX4zRmewk/default.jpg,120,90,https://i.ytimg.com/vi/0XsX4zRmewk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0XsX4zRmewk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0XsX4zRmewk/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/0XsX4zRmewk/maxresdefault.jpg,1280.0,720.0,ER Misterios,"['er misterios', 'noticias', 'johnny depp juicio', 'amber heard juicio', 'johnny depp trial', 'sean bett', 'seguridad de johnny depp', 'guardia de johnny depp', 'johnny depp lo ultimo', 'johnny depp juicio 2022', 'johnny depp vs amber heard español', 'johnny deep gana juicio', 'johnny depp juicio en vivo', 'johnny depp vs amber heard', 'johnny depp vs amber heard caso completo', 'johnny depp testifica', 'johnny depp declara', 'subtitulado', 'sub español', 'español', 'subtitulado en español', 'subtitulado al español']",24,none,Johnny Depp ASUSTA a Amber Heard durante su salida de la Corte,"SI TE GUSTÓ EL VÍDEO NO OLVIDES APOYAR AL CANAL DEJANDO TU LIKE Y SUSCRIBIÉNDOTE, PARA ASÍ PODER CREAR Y SUBIR MÁS CONTENIDO.

Suscríbete► https://www.youtube.com/channel/UCZJ8Vxj-MdzcTQ8I5yQfujg

Facebook► https://www.facebook.com/ermisterios

Música► https://www.youtube.com/watch?v=ttx-KwDSRgg&list=PLz-EO5NkwaYZJpdeX7L-H67VAbMrQ_Zti&ab_channel=PowerMusicFactory

#JohnnyDepp #AmberHeard #Juicio",PT39S,2d,hd,false,True,,rectangular,processed,public,youtube,True,True,False,786859,11049,0,4928,
