year,month,cluster,n_links
2018,jan,tweets5,10
2018,jan,tweets6,1
2018,jan,tweets0,1
2018,jan,tweets1,1
2018,jan,tweets15,1
2018,feb,tweets21,3
2018,feb,tweets4,1
2018,feb,tweets9,11
2018,feb,tweets12,1
2018,feb,tweets13,2
2018,feb,tweets14,11
2018,feb,tweets18,1
2018,feb,tweets0,3
2018,mar,tweets5,1
2018,mar,tweets0,7
2018,mar,tweets19,2
2018,apr,tweets2,4
2018,apr,tweets5,11
2018,apr,tweets6,3
2018,apr,tweets12,1
2018,apr,tweets7,2
2018,apr,tweets0,21
2018,apr,tweets1,13
2018,apr,tweets19,8
2018,may,tweets2,1
2018,may,tweets4,1
2018,may,tweets8,10
2018,may,tweets10,1
2018,may,tweets9,3
2018,may,tweets0,1
2018,may,tweets1,1
2018,jun,tweets16,1
2018,jun,tweets20,18
2018,jun,tweets2,4
2018,jun,tweets3,13
2018,jun,tweets10,1
2018,jun,tweets9,19
2018,jun,tweets6,21
2018,jun,tweets24,13
2018,jun,tweets12,1
2018,jun,tweets13,6
2018,jun,tweets25,3
2018,jun,tweets0,106
2018,jul,tweets2,4
2018,jul,tweets4,5
2018,jul,tweets8,1
2018,jul,tweets9,10
2018,jul,tweets5,34
2018,jul,tweets6,2
2018,jul,tweets13,1
2018,jul,tweets1,15
2018,jul,tweets15,17
2018,aug,tweets3,2
2018,aug,tweets21,12
2018,aug,tweets8,2
2018,aug,tweets10,2
2018,aug,tweets6,3
2018,aug,tweets29,5
2018,aug,tweets13,1
2018,aug,tweets7,4
2018,aug,tweets14,2
2018,aug,tweets18,29
2018,aug,tweets0,52
2018,aug,tweets1,37
2018,aug,tweets15,1
2018,sep,tweets2,10
2018,sep,tweets3,2
2018,sep,tweets24,13
2018,sep,tweets7,1
2018,sep,tweets0,2
2018,sep,tweets1,14
2018,sep,tweets19,1
2018,oct,tweets2,2
2018,oct,tweets36,6
2018,oct,tweets26,6
2018,oct,tweets4,12
2018,oct,tweets11,19
2018,oct,tweets9,46
2018,oct,tweets5,24
2018,oct,tweets6,3
2018,oct,tweets12,2
2018,oct,tweets29,11
2018,oct,tweets13,1
2018,oct,tweets25,12
2018,oct,tweets7,12
2018,oct,tweets18,34
2018,oct,tweets0,8
2018,oct,tweets22,17
2018,oct,tweets1,4
2018,oct,tweets35,7
2018,oct,tweets15,52
2018,nov,tweets16,23
2018,nov,tweets2,34
2018,nov,tweets3,70
2018,nov,tweets21,8
2018,nov,tweets26,2
2018,nov,tweets4,62
2018,nov,tweets30,6
2018,nov,tweets10,27
2018,nov,tweets11,53
2018,nov,tweets9,51
2018,nov,tweets27,5
2018,nov,tweets6,26
2018,nov,tweets24,3
2018,nov,tweets29,4
2018,nov,tweets13,30
2018,nov,tweets25,1
2018,nov,tweets7,49
2018,nov,tweets14,28
2018,nov,tweets0,15
2018,nov,tweets23,1
2018,nov,tweets1,51
2018,nov,tweets15,41
2018,dec,tweets16,1
2018,dec,tweets57,12
2018,dec,tweets20,1
2018,dec,tweets2,10
2018,dec,tweets61,1
2018,dec,tweets37,24
2018,dec,tweets3,127
2018,dec,tweets56,8
2018,dec,tweets83,5
2018,dec,tweets26,2
2018,dec,tweets4,36
2018,dec,tweets8,23
2018,dec,tweets51,1
2018,dec,tweets31,22
2018,dec,tweets5,26
2018,dec,tweets49,12
2018,dec,tweets6,10
2018,dec,tweets53,10
2018,dec,tweets12,33
2018,dec,tweets69,10
2018,dec,tweets13,6
2018,dec,tweets44,10
2018,dec,tweets25,31
2018,dec,tweets7,1
2018,dec,tweets43,13
2018,dec,tweets14,21
2018,dec,tweets38,2
2018,dec,tweets18,14
2018,dec,tweets63,2
2018,dec,tweets0,191
2018,dec,tweets23,25
2018,dec,tweets1,239
2018,dec,tweets19,3
2018,dec,tweets58,1
2018,dec,tweets78,4
2018,dec,tweets39,1
2018,dec,tweets81,10
2019,jan,tweets16,21
2019,jan,tweets57,7
2019,jan,tweets20,3
2019,jan,tweets2,2
2019,jan,tweets36,1
2019,jan,tweets60,1
2019,jan,tweets3,6
2019,jan,tweets21,1
2019,jan,tweets76,5
2019,jan,tweets17,1
2019,jan,tweets26,8
2019,jan,tweets4,25
2019,jan,tweets8,2
2019,jan,tweets10,48
2019,jan,tweets11,1
2019,jan,tweets9,9
2019,jan,tweets31,1
2019,jan,tweets5,3
2019,jan,tweets70,6
2019,jan,tweets6,3
2019,jan,tweets73,5
2019,jan,tweets29,17
2019,jan,tweets25,2
2019,jan,tweets7,112
2019,jan,tweets18,1
2019,jan,tweets0,28
2019,jan,tweets1,3
2019,jan,tweets15,5
2019,feb,tweets17,13
2019,feb,tweets8,21
2019,feb,tweets11,1
2019,feb,tweets5,2
2019,feb,tweets13,26
2019,feb,tweets18,7
2019,feb,tweets0,3
2019,feb,tweets1,32
2019,mar,tweets16,16
2019,mar,tweets20,16
2019,mar,tweets2,23
2019,mar,tweets3,6
2019,mar,tweets21,33
2019,mar,tweets40,9
2019,mar,tweets17,2
2019,mar,tweets4,4
2019,mar,tweets8,4
2019,mar,tweets10,8
2019,mar,tweets11,3
2019,mar,tweets9,31
2019,mar,tweets31,29
2019,mar,tweets5,24
2019,mar,tweets32,2
2019,mar,tweets6,3
2019,mar,tweets45,6
2019,mar,tweets12,13
2019,mar,tweets28,7
2019,mar,tweets13,1
2019,mar,tweets72,1
2019,mar,tweets25,3
2019,mar,tweets7,2
2019,mar,tweets33,2
2019,mar,tweets14,23
2019,mar,tweets18,2
2019,mar,tweets34,16
2019,mar,tweets0,268
2019,mar,tweets22,1
2019,mar,tweets74,1
2019,mar,tweets23,2
2019,mar,tweets1,15
2019,mar,tweets19,1
2019,mar,tweets15,4
2019,mar,tweets42,26
2019,apr,tweets16,1
2019,apr,tweets2,16
2019,apr,tweets37,8
2019,apr,tweets3,11
2019,apr,tweets21,9
2019,apr,tweets17,9
2019,apr,tweets26,7
2019,apr,tweets4,9
2019,apr,tweets8,8
2019,apr,tweets10,19
2019,apr,tweets11,2
2019,apr,tweets9,1
2019,apr,tweets5,50
2019,apr,tweets27,6
2019,apr,tweets32,8
2019,apr,tweets6,2
2019,apr,tweets7,18
2019,apr,tweets0,188
2019,apr,tweets1,74
2019,may,tweets2,1
2019,may,tweets3,12
2019,may,tweets26,6
2019,may,tweets4,12
2019,may,tweets8,16
2019,may,tweets10,1
2019,may,tweets9,32
2019,may,tweets5,3
2019,may,tweets6,18
2019,may,tweets12,20
2019,may,tweets28,6
2019,may,tweets13,3
2019,may,tweets25,1
2019,may,tweets7,12
2019,may,tweets0,52
2019,may,tweets1,2
2019,may,tweets15,15
2019,jun,tweets3,23
2019,jun,tweets4,1
2019,jun,tweets11,23
2019,jun,tweets9,1
2019,jun,tweets5,1
2019,jun,tweets6,1
2019,jun,tweets7,2
2019,jun,tweets0,32
2019,jun,tweets1,59
2019,jul,tweets2,7
2019,jul,tweets3,12
2019,jul,tweets17,1
2019,jul,tweets4,4
2019,jul,tweets10,20
2019,jul,tweets5,2
2019,jul,tweets6,17
2019,jul,tweets12,3
2019,jul,tweets13,3
2019,jul,tweets0,25
2019,jul,tweets23,5
2019,jul,tweets1,19
2019,jul,tweets15,6
2019,aug,tweets2,1
2019,aug,tweets3,1
2019,aug,tweets4,28
2019,aug,tweets10,11
2019,aug,tweets11,1
2019,aug,tweets9,1
2019,aug,tweets5,21
2019,aug,tweets12,1
2019,aug,tweets7,6
2019,aug,tweets0,6
2019,aug,tweets1,4
2019,sep,tweets2,9
2019,sep,tweets3,6
2019,sep,tweets4,3
2019,sep,tweets9,3
2019,sep,tweets6,2
2019,sep,tweets12,13
2019,sep,tweets13,6
2019,sep,tweets14,4
2019,sep,tweets0,13
2019,sep,tweets1,80
2019,oct,tweets2,1
2019,oct,tweets21,8
2019,oct,tweets17,4
2019,oct,tweets4,29
2019,oct,tweets8,22
2019,oct,tweets10,1
2019,oct,tweets5,4
2019,oct,tweets6,7
2019,oct,tweets12,2
2019,oct,tweets13,8
2019,oct,tweets7,18
2019,oct,tweets0,3
2019,oct,tweets1,14
2019,nov,tweets16,1
2019,nov,tweets20,9
2019,nov,tweets2,4
2019,nov,tweets3,28
2019,nov,tweets21,12
2019,nov,tweets17,15
2019,nov,tweets4,102
2019,nov,tweets8,31
2019,nov,tweets10,2
2019,nov,tweets11,48
2019,nov,tweets9,9
2019,nov,tweets5,9
2019,nov,tweets12,35
