name,comment
Soviet Ninja,The photographers are so annoying lol.
Timtom Tomtin,"Amazing woman, strong, heart warming, well read, intelligent, sexy and funny. Like all true role models, she is one, because she doesn‘t want to be one ... 🤔😊"
Rodney Ives Collen,"Undeniably and undoubtedly one of the most gorgeous/stunning women to have ever lived, but she's simply the most gorgeous/stunning that I've ever seen; plus she's strong, smart, and always expresses herself unapologetically, I love Amber Heard."
