name,comment
Frank Castle,"I wonder what moronic brand dropped her, they must be regretting it now, go Amber!"
Rodney Ives Collen,"Amber Heard really slays with her absolutely breathtaking, one of a kind, and out of this world beauty/charm. She's a Goddess!💖💖💖💖💖"
