name,comment
Bárbara JohnnyDeppfan,"ESTOU LOUCA PARA ASSISTIR, ELA ESTÁ BEM DIFERENTE E AMEI ESSE LOOK !! SHOW DE ATUAÇÃO DA AMBER !!"
David Heard,so cool💕
SuperFashionWorld,The make a whole gag about a band called The Flaming Lips. Only thing I could think of - who are The Flaming Lips?
Rodney Ives Collen,"Amber Heard is undeniably and undoubtedly one of the loveliest ever, but she's just the loveliest that I've ever seen. She really slays and stuns me with her absolutely breathtaking, one of a kind, and out of this world beauty/charm."
Alexa Bliss,Good
