"CASE NUMBER: CL-2019-2911 -Â JOHN C. DEPP, II V. AMBER LAURA HEARD",,
Date,Documents,PDF
07/07/2021,"Defendant's Reply Memorandum in Support of Supplemental Plea in Bar","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-reply-memo-supp-pib-7-7-2021.pdf"" target=""_blank"">View</a>"
07/07/2021,"Defendant's Second Notification of Judicial Notice of Adjudicated Facts &amp; Law","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-2nd-judicial-notice-7-7-2021.pdf"" target=""_blank"">View</a>"
07/07/2021,"Defendant's Notice of Intent to Use Protected Information","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-use-protected-info-7-7-2021.pdf"" target=""_blank"">View</a>"
07/07/2021,"Defendant's Opposition to Sanctions for Supplemental Plea in Bar","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-opp-plt-sanctions-7-7-2021.pdf"" target=""_blank"">View</a>"
07/02/2021,"Order Dated July 2, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-7-2-2021.pdf"" target=""_blank"">View</a>"
06/29/2021,"Order Dated June 29, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-6-29-2021.pdf"" target=""_blank"">View</a>"
06/28/2021,"Plaintiff's Opposition to Supplemental Plea in Bar","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-opp-supp-pib-6-28-2021.pdf"" target=""_blank"">View</a>"
06/28/2021,"Plaintiff's Motion for Sanctions","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-sanctions-6-28-2021.pdf"" target=""_blank"">View</a>"
06/25/2021,"Plaintiff's Opposition to Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-resp-mot-compel-rfp-praecipe-6-25-2021.pdf"" target=""_blank"">View</a>"
06/25/2021,"Plaintiff's Opposition to Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-resp-mot-compel-rfp-6-25-2021.pdf"" target=""_blank"">View</a>"
06/21/2021,"Order Dated June 21, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-6-21-2021.pdf"" target=""_blank"">View</a>"
06/17/2021,"Plaintiff's Opposition to Motion to Compel and for Relief Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-resp-mot-compel-praecipe-6-17-2021.pdf"" target=""_blank"">View</a>"
06/17/2021,"Plaintiff's Opposition to Motion to Compel and for Relief","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-resp-mot-compel-6-17-2021.pdf"" target=""_blank"">View</a>"
06/14/2021,"Defendant's Memorandum in Support of Supplemental Plea in Bar","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-memo-supp-plea-in-bar-6-14-2021.pdf"" target=""_blank"">View</a>"
06/09/2021,"Defendant's Motions to Compel and for Relief Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-compel-praecipe2-6-9-2021.pdf"" target=""_blank"">View</a>"
06/09/2021,"Defendant's Memorandum in Support of Motions to Compel and for Relief","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-memo-compel-jacobs-6-9-2021.pdf"" target=""_blank"">View</a>"
06/09/2021,"Defendant's Motions to Compel and for Relief","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-compel-jacobs-6-9-2021.pdf"" target=""_blank"">View</a>"
06/09/2021,"Defendant's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-compel-praecipe-6-9-2021.pdf"" target=""_blank"">View</a>"
06/09/2021,"Defendant's Memorandum in Support of Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-memo-compel-6-9-2021.pdf"" target=""_blank"">View</a>"
06/09/2021,"Defendant's Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-compel-6-9-2021.pdf"" target=""_blank"">View</a>"
06/02/2021,"Order Dated June 2, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-6-2-2021.pdf"" target=""_blank"">View</a>"
05/27/2021,"Foreign Subpoena for iO Tillett Wright","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-io-tillett-wright-dep-5-27-2021.pdf"" target=""_blank"">View</a>"
05/25/2021,"Foreign Subpoena for iO Tillett Wright","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-io-tillett-wright-docs-5-25-2021.pdf"" target=""_blank"">View</a>"
05/21/2021,"Plaintiff's Opposition to Defendant's Motion for Leave to File Amended Answer &amp; Grounds of Defense and Supplemental Plea in Bar Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-resp-file-amend-ans-supp-pib-sched-stay-disc-praecipe-5-21-2021.pdf"" target=""_blank"">View</a>"
05/21/2021,"Plaintiff's Opposition to Defendant's Motion for Leave to File Amended Answer &amp; Grounds of Defense and Supplemental Plea in Bar","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-opp-file-amend-pib-5-21-2021.pdf"" target=""_blank"">View</a>"
05/12/2021,"Order Dated May 12, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-5-12-2021.pdf"" target=""_blank"">View</a>"
05/05/2021,"Plaintiff's Proposed Order","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-proposed-order-5-5-2021.pdf"" target=""_blank"">View</a>"
04/23/2021,"Defendant's Opposition to Plaintiff's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-resp-mot-compel-praecipe-4-23-2021.pdf"" target=""_blank"">View</a>"
04/23/2021,"Defendant's Opposition to Plaintiff's Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-resp-mot-compel-4-23-2021.pdf"" target=""_blank"">View</a>"
04/22/2021,"Order Dated April 22, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-scheduling-order-4-22-2021.pdf"" target=""_blank"">View</a>"
04/19/2021,"Order Dated April 19, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-4-19-2021.pdf"" target=""_blank"">View</a>"
04/14/2021,"Defendant's Opposition to Plaintiff's Request for Attorneys' Fees","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-opp-plt-req-atty-fees-4-14-2021.pdf"" target=""_blank"">View</a>"
04/13/2021,"Defendant's Notification of Judicial Notice of Adjudicated Facts &amp; Law","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-judicial-notice-4-13-2021.pdf"" target=""_blank"">View</a>"
04/13/2021,"Defendant's Supplemental Plea in Bar","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-supp-plea-in-bar-4-13-2021.pdf"" target=""_blank"">View</a>"
04/13/2021,"Defendant's Amended Answer and Grounds of Defense","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-amended-answer-4-13-2021.pdf"" target=""_blank"">View</a>"
04/13/2021,"Defendant's Motion for Amended Answer &amp; Grounds of Defense, Supplemental Plea in Bar, Schedule a Hearing, Set Briefing Schedule and Stay Discovery Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-amend-ans-plea-in-bar-praecipe-4-13-2021.pdf"" target=""_blank"">View</a>"
04/13/2021,"Defendant's Memorandum for Amended Answer &amp; Grounds of Defense, Supplemental Plea in Bar, Schedule a Hearing, Set Briefing Schedule and Stay Discovery","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-memo-amend-ans-plea-in-bar-4-13-2021.pdf"" target=""_blank"">View</a>"
04/13/2021,"Defendant's Motion for Amended Answer &amp; Grounds of Defense, Supplemental Plea in Bar, Schedule a Hearing, Set Briefing Schedule and Stay Discovery","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-amend-ans-plea-in-bar-4-13-2021.pdf"" target=""_blank"">View</a>"
04/08/2021,"Plaintiff's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-compel-praecipe-4-8-2021.pdf"" target=""_blank"">View</a>"
04/08/2021,"Plaintiff's Memorandum to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-memo-compel-4-8-2021.pdf"" target=""_blank"">View</a>"
04/08/2021,"Plaintiff's Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-compel-4-8-2021.pdf"" target=""_blank"">View</a>"
04/07/2021,"Declaration of Benjamin G. Chew","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-declaration-of-Benjamin-Chew-4-7-2021.pdf"" target=""_blank"">View</a>"
03/31/2021,"Order Dated March 31, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-3-31-2021.pdf"" target=""_blank"">View</a>"
03/29/2021,"Defendant's Motion for Reconsideration","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-reconsider-3-29-2021.pdf"" target=""_blank"">View</a>"
03/26/2021,"Order Dated March 26, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-3-26-2021.pdf"" target=""_blank"">View</a>"
03/26/2021,"Order Dated March 26, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-calendar-control-order-3-26-2021.pdf"" target=""_blank"">View</a>"
03/12/2021,"Foreign Subpoena for Wasser, Cooperman &amp; Mandles, PC","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Wasser-Cooperman-Mandles-PC-3-12-2021.pdf"" target=""_blank"">View</a>"
03/08/2021,"Order Dated March 8, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-3-8-2021.pdf"" target=""_blank"">View</a>"
03/08/2021,"Letter Dated March 8, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-letter-3-8-2021.pdf"" target=""_blank"">View</a>"
03/05/2021,"Agreed Order Dated March 5, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-3-5-2021.pdf"" target=""_blank"">View</a>"
02/24/2021,"Motion to Admit Pro Hac Vice Samuel A. Moniz as Co-Counsel for Plaintiff","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-pro-hac-vice-mot-Samuel-Moniz-2-24-2021.pdf"" target=""_blank"">View</a>"
02/24/2021,"Application to Appear Pro Hac Vice for Samuel A. Moniz","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-pro-hac-vice-app-Samuel-Moniz-2-24-2021.pdf"" target=""_blank"">View</a>"
02/23/2021,Praecipe,"<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-praecipe-2-23-2021.pdf"" target=""_blank"">View</a>"
02/23/2021,"Order Dated February 23, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-calendar-control-order-2-23-2021.pdf"" target=""_blank"">View</a>"
02/22/2021,"Order Dated February 22, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-2-22-2021.pdf"" target=""_blank"">View</a>"
02/22/2021,Notice,"<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-notice-2-22-2021.pdf"" target=""_blank"">View</a>"
02/22/2021,"Foreign Subpoena for Adam Waldman","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Adam-Waldman-2-22-2021.pdf"" target=""_blank"">View</a>"
02/22/2021,"Foreign Subpoena for Adam Waldman","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Adam-Waldman-dep-2-22-2021.pdf"" target=""_blank"">View</a>"
02/22/2021,"Foreign Subpoena for Whitney Henriquez","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Whitney-Henriquez-2-22-2021.pdf"" target=""_blank"">View</a>"
02/19/2021,"Order Dated February 19, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-2-19-2021.pdf"" target=""_blank"">View</a>"
02/19/2021,"Defendant's Opposition to Motion to Present Audiovisual Testimony Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-resp-mot-present-av-testimony-praecipe-2-19-2021.pdf"" target=""_blank"">View</a>"
02/19/2021,"Defendant's Opposition to Motion to Present Audiovisual Testimony","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-resp-mot-present-av-testimony-2-19-2021.pdf"" target=""_blank"">View</a>"
02/17/2021,"Plaintiff's Memorandum to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-compel-praecipe-2-17-2021.pdf"" target=""_blank"">View</a>"
02/16/2021,"Plaintiff's Memorandum to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-compel-praecipe-2-16-2021.pdf"" target=""_blank"">View</a>"
02/16/2021,"Foreign Subpoena for Children's Hospital Los Angeles","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Childrens-Hospital-2-16-2021.pdf"" target=""_blank"">View</a>"
02/16/2021,"Foreign Subpoena for iO Tillett Wright","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-iO-Tillett-Wright-2-16-2021.pdf"" target=""_blank"">View</a>"
02/16/2021,"Foreign Subpoena for iO Tillett Wright","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-iO-Tillett-Wright-dep-2-16-2021.pdf"" target=""_blank"">View</a>"
02/12/2021,"Plaintiff's Memorandum to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-compel-praecipe-2-12-2021.pdf"" target=""_blank"">View</a>"
02/12/2021,"Plaintiff's Memorandum to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-memo-mot-compel-resp-docs-2-12-2021.pdf"" target=""_blank"">View</a>"
02/12/2021,"Agreed Order Dated February 12, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-pro-hac-vice-consent-order-Jessica-N-Meyers-2-12-2021.pdf"" target=""_blank"">View</a>"
02/12/2021,"Agreed Order Dated February 12, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-pro-hac-vice-consent-order-Leo-Presiado-2-12-2021.pdf"" target=""_blank"">View</a>"
02/11/2021,"Affidavit of Service","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-affidavit-of-service-Adam-Waldman-2-11-2021.pdf"" target=""_blank"">View</a>"
02/11/2021,"Defendant's Opposition to Appointment of a Conciliator &amp; Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-resp-appt-conciliator-mot-compel-praecipe-2-11-2021.pdf"" target=""_blank"">View</a>"
02/11/2021,"Defendant's Opposition to Appointment of a Conciliator &amp; Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-resp-appt-conciliator-mot-compel-2-11-2021.pdf"" target=""_blank"">View</a>"
02/08/2021,"Foreign Subpoena for American Civil Liberties Union, Inc.","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-ACLU-dep-2-8-2021.pdf"" target=""_blank"">View</a>"
02/08/2021,"Foreign Subpoena for American Civil Liberties Union, Inc.","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-ACLU-2-8-2021.pdf"" target=""_blank"">View</a>"
02/08/2021,"Foreign Subpoena for Whitney Henriquez","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Whitney-Henriquez-2-8-2021.pdf"" target=""_blank"">View</a>"
02/05/2021,"Plaintiff's Motion to Present Audiovisual Testimony Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-present-av-testimony-praecipe-2-5-2021.pdf"" target=""_blank"">View</a>"
02/05/2021,"Plaintiff's Memorandum to Present Audiovisual Testimony","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-memo-present-av-testimony-2-5-2021.pdf"" target=""_blank"">View</a>"
02/05/2021,"Plaintiff's Motion to Present Audiovisual Testimony","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-present-av-testimony-2-5-2021.pdf"" target=""_blank"">View</a>"
02/05/2021,"Consent Motion to Admit Pro Hac Vice Jessica N. Meyers","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-pro-hac-vice-consent-mot-Jessica-N-Meyers-2-5-2021.pdf"" target=""_blank"">View</a>"
02/04/2021,"Foreign Subpoena for Anthony Romero","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Anthony-Romero-dep-2-4-2021.pdf"" target=""_blank"">View</a>"
02/04/2021,"Foreign Subpoena for Anthony Romero","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Anthony-Romero-2-4-2021.pdf"" target=""_blank"">View</a>"
02/04/2021,"Foreign Subpoena for Benjamin Wizner","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Benjamin-Wizner-prep-2-4-2021.pdf"" target=""_blank"">View</a>"
02/04/2021,"Foreign Subpoena for Benjamin Wizner","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Benjamin-Wizner-2-4-2021.pdf"" target=""_blank"">View</a>"
02/04/2021,"Foreign Subpoena for American Civil Liberties Union Foundation","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-ACLU-2-4-2021.pdf"" target=""_blank"">View</a>"
02/04/2021,"Foreign Subpoena for American Civil Liberties Union Foundation","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-ACLU-dep-2-4-2021.pdf"" target=""_blank"">View</a>"
02/04/2021,"Foreign Subpoena for Elon Musk","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Elon-Musk-2-4-2021.pdf"" target=""_blank"">View</a>"
02/03/2021,"Foreign Subpoena for Tasya van Ree","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Tasya-van-Ree-2-3-2021.pdf"" target=""_blank"">View</a>"
02/03/2021,"Foreign Subpoena for Tasya van Ree","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Tasya-van-Ree-dep-2-3-2021.pdf"" target=""_blank"">View</a>"
02/03/2021,"Foreign Subpoena for Bianca Butti","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Bianca-Butti-2-3-2021.pdf"" target=""_blank"">View</a>"
02/03/2021,"Foreign Subpoena for Bianca Butti","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Bianca-Butti-2-3-2021.pdf"" target=""_blank"">View</a>"
02/03/2021,"Consent Motion to Admit Pro Hac Vice Leo J. Presiado","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-pro-hac-vice-consent-mot-Leo-J-Presiado-2-3-2021.pdf"" target=""_blank"">View</a>"
02/01/2021,"Defendant's Opposition to Plaintiff's Attorney's Fees Declaration","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-opp-pltff-atty-fees-declaration-2-1-2021.pdf"" target=""_blank"">View</a>"
01/27/2021,"Order Dated January 27, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-1-27-2021.pdf"" target=""_blank"">View</a>"
01/27/2021,"Foreign Subpoena for Eric M. George","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-Eric-George-1-27-2021.pdf"" target=""_blank"">View</a>"
01/26/2021,"Plaintiff's Reply Memorandum in Support of Motion to Deny Remainder of Defendant's Plea in Bar","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-resp-memo-mot-deny-remainder-of-plea-in-bar-1-26-2021.pdf"" target=""_blank"">View</a>"
01/25/2021,"Declaration of Benjamin G. Chew","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-declaration-Benjamin-Chew-1-25-2021.pdf"" target=""_blank"">View</a>"
01/22/2021,"Plaintiff's Answer and Grounds of Defense","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-answer-grounds-of-defense-1-22-2021.pdf"" target=""_blank"">View</a>"
01/22/2021,"Defendant's Motion for Appointment of a Conciliator &amp; Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-appt-conciliator-mot-compel-praecipe2-1-22-2021.pdf"" target=""_blank"">View</a>"
01/22/2021,"Defendant's Motion and Memorandum to Appoint Conciliator and Motion to Compel","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-memo-appt-conciliator-mot-compel-1-22-2021.pdf"" target=""_blank"">View</a>"
01/22/2021,"Defendant's Motion for Appointment of a Conciliator &amp; Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-appt-conciliator-praecipe-1-22-2021.pdf"" target=""_blank"">View</a>"
01/22/2021,"Defendant's Response to Motion to Deny the Remainder of Defendant's Plea in Bar Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-resp-mot-to-deny-remainder-of-plea-in-bar-praecipe-1-22-2021.pdf"" target=""_blank"">View</a>"
01/22/2021,"Defendant's Response to Motion to Deny the Remainder of Defendant's Plea in Bar &amp; Schedule Evidentiary Hearing","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-opp-mot-to-deny-remainder-of-plea-in-bar-1-22-2021.pdf"" target=""_blank"">View</a>"
01/21/2021,"Foreign Subpoena for The Art of Elysium","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-foreign-subp-prep-The-Art-of-Elysium-1-21-2021.pdf"" target=""_blank"">View</a>"
