,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
10074,1351576149781065729,noimkilIingboys,✮,2021-01-19 17:04:48+00:00,,511,426,40788,http://pbs.twimg.com/profile_images/1517738667627921409/RGvR53Uj_normal.jpg,https://pbs.twimg.com/profile_banners/1351576149781065729/1647008857,
13867,324226127,faizalthefirst,SLVRN,2011-06-26 06:48:38+00:00,🇲🇾,648,578,80756,http://pbs.twimg.com/profile_images/1457755423163830273/n-zDuMOF_normal.jpg,https://pbs.twimg.com/profile_banners/324226127/1650701560,
19667,1374190501398683653,miaerased,mia³³³,2021-03-23 02:45:34+00:00,blk | 22 | she/they,501,809,17064,http://pbs.twimg.com/profile_images/1516649198367625218/WSkUWTuo_normal.jpg,https://pbs.twimg.com/profile_banners/1374190501398683653/1644008615,
20545,390407661,Afennelphina,Spooplphina,2011-10-13 22:56:39+00:00,EVERYWHERE AND NOWHERE.,195,3316,16326,http://pbs.twimg.com/profile_images/1509592461110218772/N6hFB0oC_normal.jpg,,
21423,328653066,Still_Maryam,Mama K,2011-07-03 19:42:15+00:00,Eastwatch by the sea,7500,1400,528586,http://pbs.twimg.com/profile_images/1516661202511974400/vbjsGgEu_normal.jpg,https://pbs.twimg.com/profile_banners/328653066/1646937635,
21935,3220039282,OldMoonEmperor,🌙Old Moon Emperor🌙,2015-04-29 02:31:36+00:00,Lunar Sphere,211,318,47054,http://pbs.twimg.com/profile_images/1034108114969059328/ukKJ8B4c_normal.jpg,https://pbs.twimg.com/profile_banners/3220039282/1540388132,
25197,34473611,Hey_You_Guys82,A Girl Has No Name,2009-04-23 01:07:51+00:00,█ ♥ █ Nova Scotia,116,293,5495,http://pbs.twimg.com/profile_images/1411123050947436546/UWJOxe4U_normal.jpg,https://pbs.twimg.com/profile_banners/34473611/1473291550,
25934,304614813,sethmakaveli,Seth 333.,2011-05-24 20:25:05+00:00,Spooky Island ,1566,761,153665,http://pbs.twimg.com/profile_images/1505989328689938438/vsHjj_hl_normal.jpg,https://pbs.twimg.com/profile_banners/304614813/1636653856,
26212,830406471858925568,AndrewPBaker1,Andrew P Baker,2017-02-11 13:21:45+00:00,EEUU,12,75,5038,http://pbs.twimg.com/profile_images/1352942744407306240/EZLo0c0d_normal.jpg,https://pbs.twimg.com/profile_banners/830406471858925568/1640089371,
