,shared_url,n_shared,from_n_users,users,n_urls,platform,from,id/url,text,n_likes,n_replies,total,url_id
22,http://chng.it/9fvfm2mSb4,17,1,"(2066707406.0,)",{1},instagram,comment,2.515802777203286e+18,@flo.hernandezl http://chng.it/9fvfm2mSb4,9.0,,9.0,instagram_comments_4_months_25
23,http://chng.it/9fvfm2mSb4,17,1,"(2066707406.0,)",{1},instagram,comment,2.515802777203286e+18,@cataa.wh http://chng.it/9fvfm2mSb4,8.0,,8.0,instagram_comments_4_months_30
24,http://chng.it/9fvfm2mSb4,17,1,"(2066707406.0,)",{1},instagram,comment,2.515802777203286e+18,@connntreras http://chng.it/9fvfm2mSb4,4.0,,4.0,instagram_comments_4_months_40
25,http://chng.it/9fvfm2mSb4,17,1,"(2066707406.0,)",{1},instagram,comment,2.515802777203286e+18,@tamara_alarconm http://chng.it/9fvfm2mSb4,3.0,,3.0,instagram_comments_4_months_42
26,http://chng.it/9fvfm2mSb4,17,1,"(2066707406.0,)",{1},instagram,comment,2.515802777203286e+18,http://chng.it/9fvfm2mSb4,2.0,1.0,3.0,instagram_comments_4_months_43
27,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,10,2,"(3034584675.0, 40838726015.0)",{1},instagram,comment,2.515802777203286e+18,@pia_kusianovich www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,424.0,,424.0,instagram_comments_4_months_1
28,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,10,2,"(3034584675.0, 40838726015.0)",{1},instagram,comment,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,30.0,,30.0,instagram_comments_4_months_11
29,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,10,2,"(3034584675.0, 40838726015.0)",{1},instagram,comment,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,30.0,,30.0,instagram_comments_4_months_12
30,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,10,2,"(3034584675.0, 40838726015.0)",{1},instagram,comment,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,30.0,,30.0,instagram_comments_4_months_13
31,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,10,2,"(3034584675.0, 40838726015.0)",{1},instagram,comment,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,23.0,,23.0,instagram_comments_4_months_14
32,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,10,2,"(3034584675.0, 40838726015.0)",{1},instagram,comment,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,23.0,,23.0,instagram_comments_4_months_15
33,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,10,2,"(3034584675.0, 40838726015.0)",{1},instagram,comment,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,23.0,,23.0,instagram_comments_4_months_16
34,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,10,2,"(3034584675.0, 40838726015.0)",{1},instagram,comment,2.515802777203286e+18,@martinabuguen0 www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,9.0,,9.0,instagram_comments_4_months_26
35,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,10,2,"(3034584675.0, 40838726015.0)",{1},instagram,comment,2.515802777203286e+18,@martinabuguen0 www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,9.0,,9.0,instagram_comments_4_months_27
36,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,10,2,"(3034584675.0, 40838726015.0)",{1},instagram,comment,2.515802777203286e+18,@martinabuguen0 www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,9.0,,9.0,instagram_comments_4_months_28
37,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,1,1,"('UCCpwUMt6Ra-k1FzdGlTR8Zw',)",{1},youtube,comment,2.515802777203286e+18,@pia_kusianovich www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,424.0,,424.0,instagram_comments_4_months_1
38,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,1,1,"('UCCpwUMt6Ra-k1FzdGlTR8Zw',)",{1},youtube,comment,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,30.0,,30.0,instagram_comments_4_months_11
39,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,1,1,"('UCCpwUMt6Ra-k1FzdGlTR8Zw',)",{1},youtube,comment,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,30.0,,30.0,instagram_comments_4_months_12
40,www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,1,1,"('UCCpwUMt6Ra-k1FzdGlTR8Zw',)",{1},youtube,comment,2.515802777203286e+18,@pinoshrekista www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,30.0,,30.0,instagram_comments_4_months_13
