user.created_at,user.id_str
2020-12-01 00:00:00+00:00,23
2020-12-02 00:00:00+00:00,21
2020-12-03 00:00:00+00:00,21
2020-12-04 00:00:00+00:00,19
2020-12-05 00:00:00+00:00,21
2020-12-06 00:00:00+00:00,16
2020-12-07 00:00:00+00:00,14
2020-12-08 00:00:00+00:00,20
2020-12-09 00:00:00+00:00,19
2020-12-10 00:00:00+00:00,21
2020-12-11 00:00:00+00:00,20
2020-12-12 00:00:00+00:00,23
2020-12-13 00:00:00+00:00,24
2020-12-14 00:00:00+00:00,16
2020-12-15 00:00:00+00:00,13
2020-12-16 00:00:00+00:00,13
2020-12-17 00:00:00+00:00,26
2020-12-18 00:00:00+00:00,10
2020-12-19 00:00:00+00:00,15
2020-12-20 00:00:00+00:00,11
2020-12-21 00:00:00+00:00,16
2020-12-22 00:00:00+00:00,10
2020-12-23 00:00:00+00:00,8
2020-12-24 00:00:00+00:00,10
2020-12-25 00:00:00+00:00,6
2020-12-26 00:00:00+00:00,11
2020-12-27 00:00:00+00:00,5
2020-12-28 00:00:00+00:00,6
2020-12-29 00:00:00+00:00,6
2020-12-30 00:00:00+00:00,9
2020-12-31 00:00:00+00:00,2
