user.created_at,user.id_str
2021-01-01 00:00:00+00:00,39
2021-01-02 00:00:00+00:00,45
2021-01-03 00:00:00+00:00,45
2021-01-04 00:00:00+00:00,46
2021-01-05 00:00:00+00:00,49
2021-01-06 00:00:00+00:00,67
2021-01-07 00:00:00+00:00,64
2021-01-08 00:00:00+00:00,48
2021-01-09 00:00:00+00:00,64
2021-01-10 00:00:00+00:00,53
2021-01-11 00:00:00+00:00,45
2021-01-12 00:00:00+00:00,60
2021-01-13 00:00:00+00:00,49
2021-01-14 00:00:00+00:00,49
2021-01-15 00:00:00+00:00,40
2021-01-16 00:00:00+00:00,37
2021-01-17 00:00:00+00:00,33
2021-01-18 00:00:00+00:00,31
2021-01-19 00:00:00+00:00,46
2021-01-20 00:00:00+00:00,44
2021-01-21 00:00:00+00:00,40
2021-01-22 00:00:00+00:00,48
2021-01-23 00:00:00+00:00,34
2021-01-24 00:00:00+00:00,28
2021-01-25 00:00:00+00:00,29
2021-01-26 00:00:00+00:00,45
2021-01-27 00:00:00+00:00,40
2021-01-28 00:00:00+00:00,36
2021-01-29 00:00:00+00:00,43
2021-01-30 00:00:00+00:00,30
2021-01-31 00:00:00+00:00,42
2021-02-01 00:00:00+00:00,41
2021-02-02 00:00:00+00:00,47
2021-02-03 00:00:00+00:00,41
2021-02-04 00:00:00+00:00,38
2021-02-05 00:00:00+00:00,35
2021-02-06 00:00:00+00:00,48
2021-02-07 00:00:00+00:00,34
2021-02-08 00:00:00+00:00,38
2021-02-09 00:00:00+00:00,32
2021-02-10 00:00:00+00:00,46
2021-02-11 00:00:00+00:00,60
2021-02-12 00:00:00+00:00,54
2021-02-13 00:00:00+00:00,31
2021-02-14 00:00:00+00:00,27
2021-02-15 00:00:00+00:00,29
2021-02-16 00:00:00+00:00,29
2021-02-17 00:00:00+00:00,36
2021-02-18 00:00:00+00:00,37
2021-02-19 00:00:00+00:00,41
2021-02-20 00:00:00+00:00,42
2021-02-21 00:00:00+00:00,35
2021-02-22 00:00:00+00:00,36
2021-02-23 00:00:00+00:00,35
2021-02-24 00:00:00+00:00,49
2021-02-25 00:00:00+00:00,36
2021-02-26 00:00:00+00:00,39
2021-02-27 00:00:00+00:00,46
2021-02-28 00:00:00+00:00,38
2021-03-01 00:00:00+00:00,35
2021-03-02 00:00:00+00:00,31
2021-03-03 00:00:00+00:00,39
2021-03-04 00:00:00+00:00,35
2021-03-05 00:00:00+00:00,27
2021-03-06 00:00:00+00:00,29
2021-03-07 00:00:00+00:00,29
2021-03-08 00:00:00+00:00,31
2021-03-09 00:00:00+00:00,35
2021-03-10 00:00:00+00:00,29
2021-03-11 00:00:00+00:00,32
2021-03-12 00:00:00+00:00,22
2021-03-13 00:00:00+00:00,30
2021-03-14 00:00:00+00:00,23
2021-03-15 00:00:00+00:00,23
2021-03-16 00:00:00+00:00,31
2021-03-17 00:00:00+00:00,38
2021-03-18 00:00:00+00:00,29
2021-03-19 00:00:00+00:00,28
2021-03-20 00:00:00+00:00,27
2021-03-21 00:00:00+00:00,28
2021-03-22 00:00:00+00:00,44
2021-03-23 00:00:00+00:00,31
2021-03-24 00:00:00+00:00,37
2021-03-25 00:00:00+00:00,51
2021-03-26 00:00:00+00:00,31
2021-03-27 00:00:00+00:00,29
2021-03-28 00:00:00+00:00,13
2021-03-29 00:00:00+00:00,20
2021-03-30 00:00:00+00:00,21
2021-03-31 00:00:00+00:00,13
2021-04-01 00:00:00+00:00,20
2021-04-02 00:00:00+00:00,18
2021-04-03 00:00:00+00:00,8
2021-04-04 00:00:00+00:00,20
2021-04-05 00:00:00+00:00,15
2021-04-06 00:00:00+00:00,13
2021-04-07 00:00:00+00:00,11
2021-04-08 00:00:00+00:00,14
2021-04-09 00:00:00+00:00,15
2021-04-10 00:00:00+00:00,11
2021-04-11 00:00:00+00:00,17
2021-04-12 00:00:00+00:00,6
2021-04-13 00:00:00+00:00,6
2021-04-14 00:00:00+00:00,12
2021-04-15 00:00:00+00:00,12
2021-04-16 00:00:00+00:00,11
2021-04-17 00:00:00+00:00,8
2021-04-18 00:00:00+00:00,6
2021-04-19 00:00:00+00:00,13
2021-04-20 00:00:00+00:00,9
2021-04-21 00:00:00+00:00,6
2021-04-22 00:00:00+00:00,12
2021-04-23 00:00:00+00:00,4
2021-04-24 00:00:00+00:00,3
2021-04-25 00:00:00+00:00,2
