name,comment
Stydestiel .25,Queen amber👑❤
Trans Sylva,Brilliant !
Clemens was here,This is one of the best speeches I have ever heard. Seriously !
pure Joy,"It‘s unbelievable how much we underestimate this smart, blonde actress."
Christina Taft,"This is AMAZING! I love Amber Heard and what she does. Also, I completely agree. Journalism, activism, allowing people to speak for causes on social media, and human rights are important!"
