__typename,id,createdAt,signatureCount,petition__slug,title,description,photo,video,embeddedMedia,dmResponse,status_manual
MilestonePetitionUpdate,28302775,2021-01-04 15:37:35+00:00,100.0,us-remove-amber-heard-from-aquaman,,,,,,,against
MilestonePetitionUpdate,28622990,2021-02-27 16:07:25+00:00,200.0,warner-brothers-replace-amber-heard-in-justice-league-with-danny-devito-in-a-wig,,,,,,,against
MilestonePetitionUpdate,28322252,2021-01-07 16:34:32+00:00,100.0,warner-brothers-replace-amber-heard-in-justice-league-with-danny-devito-in-a-wig,,,,,,,against
MilestonePetitionUpdate,28474808,2021-02-02 17:24:28+00:00,1000.0,warner-bros-for-amber-heard-to-continue-on-aquaman-2,,,,,,,for
MilestonePetitionUpdate,28333103,2021-01-09 07:43:41+00:00,50.0,justice-for-johnny-depp-05cf0fb4-ff7a-4156-aa57-041d791c781b,,,,,,,against
MilestonePetitionUpdate,28409731,2021-01-22 19:45:14+00:00,35000.0,warner-brothers-amber-heard-does-not-deserve-to-play-mera-in-the-next-aquaman-film,,,,,,,against
MilestonePetitionUpdate,28745170,2021-03-20 20:23:05+00:00,100.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28486760,2021-02-04 06:38:24+00:00,2000.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28482514,2021-02-03 17:56:42+00:00,1500.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28479224,2021-02-03 06:59:06+00:00,1000.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28477875,2021-02-03 01:27:18+00:00,750.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28475600,2021-02-02 19:18:54+00:00,500.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28473109,2021-02-02 13:03:03+00:00,250.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28473106,2021-02-02 13:01:41+00:00,250.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28472916,2021-02-02 12:15:27+00:00,200.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28468905,2021-02-01 21:04:21+00:00,100.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28364127,2021-01-14 16:21:31+00:00,2500.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28362431,2021-01-14 09:31:13+00:00,2000.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28361311,2021-01-14 02:45:42+00:00,1500.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28359252,2021-01-13 19:52:16+00:00,1000.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28358311,2021-01-13 17:11:16+00:00,750.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28357287,2021-01-13 14:19:42+00:00,500.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28356523,2021-01-13 11:13:22+00:00,250.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28356444,2021-01-13 10:50:11+00:00,200.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28356440,2021-01-13 10:49:40+00:00,200.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28356149,2021-01-13 09:21:39+00:00,100.0,warner-brothers-keep-amber-heard-in-aquaman-3,,,,,,,for
MilestonePetitionUpdate,28955196,2021-04-27 15:06:58+00:00,6000.0,the-judicial-conduct-investigations-office-a-official-review-the-judicial-misconduct-of-judge-nicol-in-the-johnny-depp-libel-case,,,,,,,against
MilestonePetitionUpdate,28942487,2021-04-25 06:10:48+00:00,5000.0,the-judicial-conduct-investigations-office-a-official-review-the-judicial-misconduct-of-judge-nicol-in-the-johnny-depp-libel-case,,,,,,,against
MilestonePetitionUpdate,28936598,2021-04-23 23:08:58+00:00,4000.0,the-judicial-conduct-investigations-office-a-official-review-the-judicial-misconduct-of-judge-nicol-in-the-johnny-depp-libel-case,,,,,,,against
MilestonePetitionUpdate,28649971,2021-03-04 07:08:03+00:00,3000.0,the-judicial-conduct-investigations-office-a-official-review-the-judicial-misconduct-of-judge-nicol-in-the-johnny-depp-libel-case,,,,,,,against
MilestonePetitionUpdate,28602868,2021-02-24 03:48:07+00:00,50.0,dc-comics-replace-amber-heard-with-emilia-clarke-as-mera-in-aquaman-2,,,,,,,against
MilestonePetitionUpdate,28490868,2021-02-04 19:29:49+00:00,100.0,warner-brothers-remove-amber-heard-as-mera-for-aquaman-2,,,,,,,against
MilestonePetitionUpdate,28554627,2021-02-15 19:01:59+00:00,200.0,petition-to-hold-amber-heard-accountable-amber-heard-honour-your-pledge-to-chla,,,,,,,against
