id,user,support_count,offense_count,support_score,category,client_id,timestamp,analysis_total_tweets,unbiased_count
1,@AmberHeardIT,392,93,0.8082474226804124,Supporter,1,2021-04-12 17:43:02.833595,716,231
2,@Eve_Barlow,7,4,0.6363636363636364,Supporter,1,2021-04-12 17:43:03.469046,35,24
3,@stirgussa,190,122,0.6089743589743589,Supporter,1,2021-04-12 17:43:03.679479,515,203
4,@IvanaE,331,233,0.5868794326241135,None,1,2021-04-12 17:43:04.705975,1065,501
5,@ScottMendelson,0,0,0.5,None,1,2021-04-12 17:43:05.303067,1,1
6,@Scookey2045,14,993,0.013902681231380337,Offender,1,2021-04-12 17:43:05.910518,1072,65
7,@serpens1984,0,56,0.0,Offender,1,2021-04-12 17:43:06.107660,62,6
8,@DoniaEraiq,0,40,0.0,Offender,1,2021-04-12 17:43:06.305669,43,3
9,@DRSharonRStone,0,30,0.0,Offender,1,2021-04-12 17:43:06.502737,39,9
10,@wars_everything,7,206,0.03286384976525822,Offender,1,2021-04-12 17:43:06.699524,245,32
11,@AGreebon,0,3,0.0,Offender,1,2021-04-12 17:43:06.894799,3,0
12,@_Miss_Burden,3,101,0.028846153846153848,Offender,1,2021-04-12 17:43:07.090019,116,12
13,@AliceZ86866073,14,452,0.030042918454935622,Offender,1,2021-04-12 17:43:07.286028,491,25
14,@EffervescentlyT,0,67,0.0,Offender,1,2021-04-12 17:43:07.486685,69,2
15,@Rinadk,0,40,0.0,Offender,1,2021-04-12 17:43:07.683711,42,2
16,@Sanja85082096,0,23,0.0,Offender,1,2021-04-12 17:43:07.880813,24,1
17,@bazarette74,3,192,0.015384615384615385,Offender,1,2021-04-12 17:43:08.084058,201,6
18,@Lil_MsCareBear,0,28,0.0,Offender,1,2021-04-12 17:43:08.279006,38,10
19,@fury_marvel,11,232,0.04526748971193416,Offender,1,2021-04-12 17:43:08.477008,264,21
20,@ElizaDFTW,14,623,0.02197802197802198,Offender,1,2021-04-12 17:43:10.620405,775,138
21,@KTN12201,5,860,0.005780346820809248,Offender,1,2021-04-12 17:43:10.826700,945,80
22,@spirituallyemp1,2,80,0.024390243902439025,Offender,1,2021-04-12 17:43:11.413293,96,14
23,@LittlePeeps1963,0,25,0.0,Offender,1,2021-04-12 17:43:11.611985,29,4
24,@VirginMick,6,79,0.07058823529411765,Offender,1,2021-04-12 17:43:11.808449,119,34
25,@Dave24563478,0,4,0.0,Offender,1,2021-04-12 17:43:12.005762,4,0
26,@PixelatedKat,0,12,0.0,Offender,1,2021-04-12 17:43:12.202238,13,1
27,@imaexaholic,0,15,0.0,Offender,1,2021-04-12 17:43:12.398979,16,1
28,@Head80s,0,25,0.0,Offender,1,2021-04-12 17:43:12.600383,33,8
29,@RedSonja2015,6,704,0.008450704225352112,Offender,1,2021-04-12 17:43:12.798700,726,16
30,@Naiad_Nemea,1,206,0.004830917874396135,Offender,1,2021-04-12 17:43:12.994736,228,21
31,@Lord_Miguel1215,2,14,0.125,Offender,1,2021-04-12 17:43:13.191981,17,1
32,@EParishio,12,549,0.0213903743315508,Offender,1,2021-04-12 17:43:13.782903,593,32
33,@diane_heymer,1,120,0.008264462809917356,Offender,1,2021-04-12 17:43:13.980346,134,13
34,@LightRey,2,14,0.125,Offender,1,2021-04-12 17:43:14.180417,29,13
35,@SJLuther85,0,52,0.0,Offender,1,2021-04-12 17:43:14.376832,61,9
36,@FoxEboney,0,1,0.0,Offender,1,2021-04-12 17:43:14.573595,1,0
37,@AlbertoTammaroo,0,3,0.0,Offender,1,2021-04-12 17:43:14.770254,4,1
38,@TildaBeau,4,312,0.012658227848101266,Offender,1,2021-04-12 17:43:15.752916,386,70
39,@TeriCarson,19,607,0.03035143769968051,Offender,1,2021-04-12 17:43:15.952224,716,90
40,@KarineWilson18,0,44,0.0,Offender,1,2021-04-12 17:43:16.148507,53,9
41,@AljacobRds,1,108,0.009174311926605505,Offender,1,2021-04-12 17:43:16.346925,134,25
42,@P60P45,7,397,0.017326732673267328,Offender,1,2021-04-12 17:43:16.548393,477,73
