,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
7841,2517981677,thefreshlife100,PRINCE AKEEM🇬🇭,2014-04-30 00:59:15+00:00,☉_☉ ☀⚬_⚬⛅•_• ☁️,416,406,5878,http://pbs.twimg.com/profile_images/1447062582800625673/8pNxi84Y_normal.jpg,https://pbs.twimg.com/profile_banners/2517981677/1474910272,
7931,598327042,a_rahimm_,AR.,2012-06-03 13:13:28+00:00,"Lahore, Pakistan ",332,226,91624,http://pbs.twimg.com/profile_images/1496117988352831489/jXw71UZI_normal.jpg,https://pbs.twimg.com/profile_banners/598327042/1623299392,
13313,175453622,braxtynelveston,braxtyn.BLM,2010-08-06 17:09:11+00:00,"New Orleans, LA",209,205,19317,http://pbs.twimg.com/profile_images/1137590714370580481/rxl7ixjw_normal.jpg,https://pbs.twimg.com/profile_banners/175453622/1637659460,
16959,405233448,morganelyse12,morgan but make it spooky,2011-11-05 01:28:07+00:00,"West Virginia, USA",492,301,10320,http://pbs.twimg.com/profile_images/1154894777000894464/FyVPWyrY_normal.jpg,https://pbs.twimg.com/profile_banners/405233448/1569756821,
18013,132304624,macxreynolds,🇬🇧whitney 🇬🇧,2010-04-12 21:47:28+00:00,"⛰ twin peaks, washington ⛰",486,1024,23478,http://pbs.twimg.com/profile_images/1275252781209849856/-WIr0_Fl_normal.jpg,https://pbs.twimg.com/profile_banners/132304624/1509928907,
18113,294524125,rostovahoe,𝐢𝐫𝐢𝐧𝐚,2011-05-07 09:19:20+00:00, she/her,1782,83,493905,http://pbs.twimg.com/profile_images/1512181304862859271/o9Osdxz-_normal.jpg,https://pbs.twimg.com/profile_banners/294524125/1634981188,
