link,count,n_users,users,n_urls
https://www.documentcloud.org/documents/5835867-Amber-Heard-Motion-to-Dismiss.html,16,4,"{948054032, 1129808400, 1136503772, 1081693988}","{8, 10, 4}"
https://www.latimes.com/entertainment/gossip/la-et-mg-amber-heard-io-tillett-911-call-20160608-snap-story.html,16,4,"{948054032, 1129808400, 1136503772, 1081693988}","{8, 10, 4}"
https://www.truehollywoodtalk.com/amber-heards-story-cyberabuse-inspires-change-public-safety-save-lives/,10,2,"{1136503772, 1081693988}","{8, 10, 2}"
https://www.youtube.com/channel/UCjKNc-woAlnxt0H-yJ8RXJg,8,2,"{1136503772, 1081693988}","{8, 10}"
https://www.change.org/p/we-support-amber-heard-in-aquaman-2-her-life-and-public-safety-to-save-lives,6,1,{1081693988},{10}
https://www.change.org/p/united-nations-remove-amber-heard-as-a-spokesperson-for-harry-walker-agency-for-domestic-violence?utm_content=cl_sharecopy_26528188_en-US%3A3&recruiter=1048865725&utm_source=share_petition&utm_medium=copylink&utm_campaign=share_petition,4,1,{1048865725},{2}
https://www.change.org/p/warner-brothers-emilia-clarke-to-replace-amber-heard-as-mera-on-aquaman-2?recruiter=1022046125&recruited_by_id=66c03f40-115c-11ea-9eb1-477c88327213&utm_source=share_petition&utm_medium=copylink&utm_campaign=petition_dashboard,2,1,{1022046125},{2}
https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2?recruiter=95107240&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_petition&utm_term=psf_combo_share_initial&recruited_by_id=a9cc87fa-9eca-475b-99d6-c3848301b6a2&pt=AVBldGl0aW9uAMCB3AAAAAAAXlBuU90xCqg1YmFmODk1Yw%3D%3D,1,1,"(95107240,)",{1}
https://www.change.org/p/united-nations-remove-amber-heard-as-a-spokesperson-for-harry-walker-agency-for-domestic-violence,1,1,"(1048865725,)",{1}
https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2,1,1,"(948054032,)",{1}
https://www.change.org/p/the-walt-disney-company-pirates-of-the-caribbean-6-with-johnny-depp-as-captain-jack-sparrow?recruiter=1167331579&recruited_by_id=26e267d0-3669-11eb-9277-ed5517335b25&utm_source=share_petition&utm_medium=copylink&utm_campaign=petition_dashboard,1,1,"(1167331579,)",{1}
