link,count,n_users,users,n_urls
https://www.change.org/p/walt-disney-back-johnny-depp-as-jack-sparrow?recruiter=1181480925&recruited_by_id=819b7dd0-7122-11eb-9110-1737655b2b88&utm_source=share_petition&utm_medium=copylink&utm_campaign=petition_dashboard,6,1,"(1181480925,)",
https://www.change.org/p/me-johnny-depp-as-jack-sparrow-in-pirates-of-the-caribbean-6?recruiter=1181480925&recruited_by_id=819b7dd0-7122-11eb-9110-1737655b2b88&utm_source=share_petition&utm_medium=copylink&utm_campaign=petition_dashboard,3,1,"(1181480925,)",
https://www.change.org/p/%D0%BC%D0%B8%D0%B4-%D1%80%D1%84-%D1%82%D1%80%D0%B5%D0%B1%D1%83%D0%B5%D0%BC-%D0%B2%D1%8B%D1%80%D0%B0%D0%B7%D0%B8%D1%82%D1%8C-%D0%BE%D0%B1%D0%B5%D1%81%D0%BF%D0%BE%D0%BA%D0%BE%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8C-%D0%B8-%D0%BE%D0%B1%D1%81%D1%83%D0%B4%D0%B8%D1%82%D1%8C-%D0%BD%D0%B0-%D0%B3%D0%BE%D1%81%D1%83%D1%80%D0%BE%D0%B2%D0%BD%D0%B5-%D1%81%D0%B8%D1%82%D1%83%D0%B0%D1%86%D0%B8%D1%8E-%D0%B8%D0%BC-%D1%81-%D0%BC%D1%8D%D1%80%D0%B8%D0%BB%D0%B8%D0%BD%D0%BE%D0%BC-%D0%BC%D1%8D%D0%BD%D1%81%D0%BE%D0%BD%D0%BE%D0%BC?utm_content=cl_sharecopy_27402992_ru-RU%3A5&recruiter=1179297829&recruited_by_id=421d1f20-67ad-11eb-91c9-95f87b35fc98&utm_source=share_petition&utm_medium=copylink&utm_campaign=psf_combo_share_initial&utm_term=psf_combo_share_initial,2,1,{1179297829},{4}
https://www.change.org/p/loma-vista-recordings-resign-marilyn-manson-to-his-record-label?utm_content=cl_sharecopy_27200758_en-US%3A3&recruiter=1179297829&recruited_by_id=421d1f20-67ad-11eb-91c9-95f87b35fc98&utm_source=share_petition&utm_medium=copylink&utm_campaign=psf_combo_share_initial&utm_term=psf_combo_share_initial,2,1,{1179297829},{4}
https://www.change.org/p/warner-brothers-keep-johnny-depp-as-grindelwald,2,1,{1198070350},{2}
https://www.facebook.com/Delihealth-101419705320022/?ref=page_internal,1,1,{61693917},{2}
http://www.eximp.com.co/,1,1,{61693917},{2}
https://www.change.org/p/warner-brothers-emilia-clarke-to-replace-amber-heard-as-mera-on-aquaman-2/exp/cl_/cl_sharecopy_20233661_en-GB/v3/1022046125?utm_content=cl_sharecopy_20233661_en-GB%3Av3&recruiter=1022046125&utm_source=share_petition&utm_medium=copylink&utm_campaign=share_petition,1,1,"(1022046125,)",
https://www.change.org/p/all-world-leaders-destroy-germany?utm_content=cl_sharecopy_26427862_en-US%3A3&recruiter=1171601200&utm_source=share_petition&utm_medium=copylink&utm_campaign=share_petition,1,1,"(1171601200,)",
https://www.complaints.judicialconduct.gov.uk/,1,1,"(1019033133,)",
