id,year
UCwXYzL0ndjf6L2elIZlKj_Q,2021
UCgYTUS-QM-cvQyLLSpnE5-Q,2021
UCUhr5P388MLmsLtaCzTQJFw,2021
UCbn2KxiUwTuRwN0C-1mIZSA,2021
UC0ljC7gsfsTquJ42Ymf7_pA,2021
UC-tzhFnDv8NMMhj2kNsgwTA,2021
UCkj7EipMvfiFQBd2pi7kaaQ,2021
UCr1nYhi0bptrBnJVqwh3eUA,2021
UCjMJFt1wwb5zKKuHmB19DQA,2021
UCyNimGg9FTyP-1_2UKmHrZw,2021
UC67T1ALepA-76KrQ5R0NfjA,2021
UCBnZcdZwAvRrTO0pa2B8BaA,2021
UC2a97HepSDzF_TMfAPvb1uQ,2021
UCXF8JRF5WVeP2nOSQcbrCaw,2021
UCR2OpexxVBCCvja2Y-212jg,2021
UCP3HL9dvOLfjKPpDYgNgq7A,2021
UCj5Crt93Jh2-6llxc9G82fQ,2021
UC8TdYyzs9hLV_9qOeZ3lubQ,2021
UCFdRXX0wsszZtsXN0O6xpQw,2021
UCHicWb3dJiH-mTj715oKFiw,2021
UCOChUjL4DrVatBlXlWzuRcw,2021
UC3q6N_zZyzFF-6i7CYE4upA,2021
UCYzDdPIa87AHCOvL1nF2yMA,2021
UC-RzH4LiXhewPOvlEYTZmLA,2021
UCznKQIVSgwaGe4AWU1W4Iig,2021
UCN2_dle9ghrOJXMxUwS-AWQ,2021
UCyxB0SolNKmA0OWjJgTo6kQ,2021
UCLwaqtbNsnuQ0nlPYnh8Tmw,2021
UCYH5EQY0YMbnGj52oEbNWuw,2021
UCm4eOHROhjcJTlIY53E8Cnw,2021
UCi0TJifDz7fkGsatTeau5zA,2021
UCNhXxi0K5eayRPIzEqJVWWw,2021
UCp743YRRQ3uK6lQ1mMt37Xw,2021
UC9199hAXiciHwAUsiTFV4Ow,2021
UCmUAgovIRvS7D4VvorHnLEA,2021
UCT-V7ujIyF5T6Zde9iCVbFQ,2021
UCcAZXGK-j_RldAYx0VMLEAQ,2021
UCGkvmyOC4umbkGQpz7v8oqw,2021
UCTgC8pQhI8o6VXMX4Et8iQQ,2021
UC-ueMTvm__W37shNNCv-CNg,2021
UCc52ZlZl9TbuMH_vNBnIRQw,2021
UC76bTht_jFz83ODdD1fFwWQ,2021
UC9Oh5grYZ48aJZJ5w1yeA_g,2021
UCQ5if6HIxlbA_SnenyK6Dyw,2021
UCBYKlAjJg6QwurtHq8aCqHg,2021
UCNngbceiV52SI5eadvSAJsw,2021
UCX8-tHvlMBnqyOA8e6mVPdg,2021
UCpmhay2FPhKloG9-07rYc5Q,2021
UCV-hSsrQbvXt5wwOBLJiwoA,2021
UCcmZG4ts7NmxYveulhP2B2g,2021
UC6wD8OKlGlIvUFuYLamu3QA,2021
UCGCb3OeykVqrEnuDqfIw3TA,2021
UCNp_2Ux_L963E6AEgkCOoRA,2021
UCByPB0ZILfEFu48IlsyK81Q,2021
UCX6gDh9enEWgznWmSv0ajHg,2021
UCXdg4CcCGuo_V-QyWC5q3sw,2021
UCEpjzTMxKCX5EFv0KSNj1Ew,2021
UCG5SsIKFxja-1F5GDp2I4mw,2021
UCE-9LWbvHdZPhqAfPGXANBw,2021
UCz68apaGE6DQ0lPtUV63ekw,2021
UCMrnBH-Ekb_9vo7Zld0783A,2021
UCWreX5XsY-86mgTxroBkMOw,2021
UCpMR6YRKDW69KZXA5YQ1C_A,2021
UCOn7kPK3nETaPsKJFzrGNug,2021
UCtJV1urvHalsa7l8IXllqZQ,2021
UCTf6HEpwzeBMgIwiUI_nq4g,2021
UC2LPQv94lsNoFuRlRplLaKQ,2021
UCQTEj-cV5epOq0braXZS0pA,2021
UCC2AesElmA-9HpdKrGjFuxg,2021
UC93dIv-GAPxxzL2S0WgWURQ,2021
UCm7Q_7hA9ccp9ctEdvdgz3Q,2021
UC-xhDlBIpRhcZm3S_0kOGHA,2021
UCHYhah-yWSn_umoQWPSox3A,2021
UCl9oU2Bc-UMAvMiL5R4eN1w,2021
UCvOlz8fEIRd3NyXdTTkc48w,2021
UC9eWP7bA2zErD61WVAOmLpQ,2021
UChimum8wqn-fYmch1RVLyaA,2021
UCKNU2piC_cckCyKw3oUG5hg,2021
UC_P2Lv7sirLiBHJmFrwwRyg,2021
UCNWxubJQ_6oN9Q-kYa9akdw,2021
UChlSGeUUYP7m6je1oe2Ob-Q,2021
UC4_P00pifi7yr5tY78NagwA,2021
UCCTaP-smy0TBsQGBrkqRsBA,2021
UCpOJsPeyzuqb5447NZj66Qw,2021
UCNDBZKM-d9FSpJILmJaF9QQ,2021
UC6G3FNJDo_o9a7yhZ3ycTHA,2021
UCqIvNL5_TvHNkfxqdVhjt8A,2021
UC8a442OibuK0vHaRQCzMPXw,2021
UCeikMBHHEdI-uq9FG5tPDZQ,2021
UCoguTv7z9gAAcfeYOgpfEkA,2021
UCDIqgju6t570rAUfEbC1b8w,2021
UClTnYHCHTeuiBhE14cYbHTw,2021
UCClBftWYje1awVT4D_g4P7w,2021
UCV2PDlgjM6NCxj7kZPuC1-A,2021
UCEzx1NYcPg1reqSKKJ_aetw,2021
UCtAQvxuEvhbmiKQWzDtSHpQ,2021
UCCF6YbXMEEM0Kui9zeI0aJg,2021
UCfehCLhSP5sq-RpUvY2NhQQ,2021
UCMxa2u2Y9QSTpikDIEreBAA,2021
UC7Vj8p9XHIOqoIeNURQ7UiA,2021
UCOjAAnogPR36wKcYiCuh9tA,2021
UCP8SSWsUhCPzCjVYVPoXUAw,2021
UC3cshH4sbfH_BVHvkvwWmpQ,2021
UClOAbJo8rm2ZeeppSFgYwuA,2021
UCer-to5kNJ_NwNRxbxOTmrA,2021
UC4T1_GFaIhiFoTu-g22z5tg,2021
UCN5maEdEcyxVcQq9_yZOe_A,2021
UC5vwDS4S-wlpIuRgeS0QIkw,2021
UC6upa-ReK25FFeN34izwL0w,2021
UC4KdbTcRnogojoxgxc8mydA,2021
UCt8AO2-eKbDjkuroWCeGeQg,2021
UC_byKsmDngpc4xGXMUo6SFw,2021
UCci4D0BZpywuOiSBVogQGrg,2021
UC7cn_Oenkl795CZ2t7Wlw1A,2021
UCfY0GCzB6WtV4z-d_lAj0TQ,2021
UCI6BoPBduy-i7ZEFKXQTtNg,2021
UCOvHl2sZ9y3CQB5ip5V7sjg,2021
UCLRQmNtHgk1v4B5k81Lqg6w,2021
UCRcfIrQPMZJixcitfSGM_qg,2021
UC50y2JNuQ9f528eR178gm4A,2021
UCzFB4IJYvXKD8wfCr_6ArFQ,2021
UCM7SlZ2oYhsn3ITv_gRAk-Q,2021
UCtU-jrVviHeNEokFJbePnzg,2021
UCJMi0Cb1cg-29vgPJUbqc9A,2021
UCn5AwvY__S3MM_eajx6NJsQ,2021
UCeF6u79WnoeYtWc6Ptvs8tA,2021
UCU79uZ0l7Pmsu0Turg5qb0w,2021
UCpS4t25CzlF-u8kQBlwKlqA,2021
UCTy0sToLNqwuQF8AKQkykbg,2021
UCaSIwqPOdmrpGgTZKN5xf-Q,2021
UCZgwfjm_K7sen8jcreklKjQ,2021
UCv6j46gZqUgM69s2-9tiHEQ,2021
UCn4iRbPzwImypOnIQ_hdqew,2021
UCwy9REkpOJjtjDabkJIoC1Q,2021
UC3fy9OdjINaNBfi170mD-nQ,2021
UCm-mod4QqhW_zpidAQl_Q3w,2021
UCOZezPjl4mAEk08PwZzAVsA,2021
UCGek7s4XvVQTZy8smiINNyQ,2021
UC8yvMclT6LGiVWO_2-nc-Vw,2021
UC2T9cuzBQkrc4Y1gcYqW3sQ,2021
UCoUnbwYrEhDQb5eoevQcSQg,2021
UCDjgD2S5o336JAiQnPqklvA,2021
UCND1fsUhW_sz72WhoeOfnJA,2021
UC3xZXREd0RknhgDB27kKapQ,2021
UCrTMnYxZ3i-0Enrk8gZAJeQ,2021
UCLRPTSIOT_xmbOwrNiiUXmA,2021
UCtyi0tt-N32WKMX2ySvbpxA,2021
UCNBLyPB6CwHY8Kt-fBnsxSA,2021
UCjCC_COAGDNMIDnhnklUCzQ,2021
UCHgPBFS6EyKzUtEAvva1jPg,2021
UCod05hvxeYCxe8bBSQGAewQ,2021
UCgETKDS4k4hXqz0fhEc9IJA,2021
UCV9qulEMTkWArU5p-gM8Cwg,2021
UCoz6YE7CO8fyhGEMdmz2ILg,2021
UCe2ed_Tjf4APTqoTkHxyhBg,2021
UC3ZkI3Hf2sBjdXJhzQbYrmA,2021
UCjShj6o7ph7pJtv0KN7B-_w,2021
UCmXyiW1j9JOWWEyK6kdwltw,2021
UCAcqYdrtEdoL1kW39bMnDeA,2021
UC83hNMZhK4d2gVHFAlFHmHw,2021
UCK8RFmacBQniFX8Z01_SvGw,2021
UCKqCG4G-IgfXBDKlBZdN7FA,2021
UCbDTpftogbiouuW6MZHgi2g,2021
UC_bGjDgAshAj4_-JFH0CQog,2021
UCwOJDgAfR9K70safu5JlfxQ,2021
UCZq7kZBXQswp67QMlDsTlJQ,2021
UCWEy7AYlXh85dQ_k3ihlz2A,2021
UCvrk_uCoDYJtV7JtfWZqugQ,2021
UChZHsA5vxoQ_nLQiKkJ32Ew,2021
UC5tcSTjuYldA_viVcWngsVA,2021
UCxTaAuULYWP32MBzXJHacfQ,2021
UCOr5jJZ5yBk_OLRnh89WGow,2021
UCIP-rwRT-neNzaML_kgWhKQ,2021
UChe-HEVs3gbfM4JcWhdaGTA,2021
UCJ_nYW41vp9UmgsO1bFvy2w,2021
UCZOL9ZVNt2FbVRkubfSn57w,2021
UCJj6qO-Fee0MSazMFVKUNpQ,2021
UCVA66IuyW_I0yp8_EAv71iQ,2021
UCyp_H6-nIRT0j_5-s18RjQQ,2021
UC4AnMqQ-e-bk6x_s9SJBR8w,2021
UCYPTU65WRfqdxM0Fi2De_4A,2021
UCAPLqgtfm5PzTasmS1gsCmw,2021
UCdXeHFGCImWsOKAF8mmteAw,2021
UCpkC6yLEpPFj15oB4h5uXyA,2021
UC2I7N4cr5ZMXfISTAra7prQ,2021
UCqm7auwEed1zizA7o4bfsWA,2021
UCvGStcnSeUIb9Yw4JaxkpVg,2021
UCqCL8zPoaZKgiuAPMOq6Oog,2021
UCAyPnbMAKkq29j0poJBVDiQ,2021
UCqay4n2V_X0_QTyoUKV-Vrg,2021
UCwSQNzOUJy2q7ZtU4hkagTg,2021
UC55MnNz6Ib2xTTzdwIvUDbA,2021
UCzHevz_L3QSPJZPXZUVcgaA,2021
UCeYX2_MU1mN4dl7DZJDT2-w,2021
UCJ2Yg6LinNZficbIqodCuYQ,2021
UCp1IaBzNT3j-qjU7A6izw-A,2021
UC0-6ATrhYtleyEOl-_1EXow,2021
UCZbXqPXuoHVi33EID1HFLrw,2021
UCrE7UHGyzZr4s0U3iyR1VlA,2021
UCD159LGJCMOqgvl30BUVwig,2021
UCovhhIgFmBtC4f6xVbpBedw,2021
UCOVYYiisgqOnXPNAvEAR6NA,2021
UCcTeukqRxLy5RUz_gylJywA,2021
UCyRtOW-UFdrltrFggQeorDQ,2021
UC8kB4A3sAmN0lHyb622fpwA,2021
UCMkw2ACPzgPEt8lybpVLp-Q,2021
UCSCdUOmLGVTw7xzY2RIKMcw,2021
UC1BuzWzvu69UzMuBwOuxelw,2021
UCj_MbCIIwxYDwpTSZ-EJwNA,2021
UCCku3Ic0JOTFy8Jaa9-a9lw,2021
UC_HRlO19BBN3RuTzsLQxHQA,2021
UCmmCTq6wZxRS2oRTVN-yjrA,2021
UClRc3LvSlQj07RHUCwN9xJg,2021
UCKbM1-fCDQXnozhdxnZttCQ,2021
UCGEIRVOLq74zSv_qQKFM67g,2021
UCuZ9_qyunlLISfwFHOh4ZQw,2021
UCyfwtXpI5uZ3qwgeO5lKU9A,2021
UCurjeR5V4LWAJFgs9ThZGjQ,2021
