url,user.screen_name,NumberOfUsersShareSameUrl,uniqueUserNameShareSameUrl
https://support.twitter.com/articles/20169199,"['JasonIsGone_', 'AadiK36769152', 'JasonIsGone_', 'Elfunadoreturns', 'tribecadreams', 'JasonIsGone_', 'LecolleurP', 'JasonIsGone_']",8,"['Elfunadoreturns', 'LecolleurP', 'JasonIsGone_', 'AadiK36769152', 'tribecadreams']"
https://t.co/008uEAJnId,"['CherylD59995761', 'CherylD59995761']",2,['CherylD59995761']
https://t.co/00D3q4f9Yx,['Om39472295'],1,['Om39472295']
https://t.co/00Vfekd0aP,['TriereGorum'],1,['TriereGorum']
https://t.co/00jDf9wcWW,['donaldherring11'],1,['donaldherring11']
https://t.co/00nXG9EAkq,['Sparrowette'],1,['Sparrowette']
https://t.co/00sfRPkU1i,['Chris_1791'],1,['Chris_1791']
https://t.co/00te9RfG2v,['BNP_forever'],1,['BNP_forever']
https://t.co/018uIVC9aN,['julz011'],1,['julz011']
https://t.co/01N0vPjFuT,"['ProJohnnyDepp', 'ProJohnnyDepp', 'ProJohnnyDepp', 'ProJohnnyDepp', 'ProJohnnyDepp', 'ProJohnnyDepp', 'ProJohnnyDepp', 'ProJohnnyDepp', 'ProJohnnyDepp', 'ProJohnnyDepp', 'ProJohnnyDepp', 'ProJohnnyDepp', 'ProJohnnyDepp']",13,['ProJohnnyDepp']
https://t.co/01ZrU88YIT,['jayneb68910675'],1,['jayneb68910675']
https://t.co/01rcIaQPal,['99odnalloh'],1,['99odnalloh']
https://t.co/02GUTkofOy,['TheBlastNews'],1,['TheBlastNews']
https://t.co/02ngnw10qk,['FonMananchaya'],1,['FonMananchaya']
https://t.co/02q7J9Wfbu,['the1tigirius'],1,['the1tigirius']
https://t.co/034lZpUPnW,['DailyMailCeleb'],1,['DailyMailCeleb']
https://t.co/038QMPhg3g,['spirituallyemp1'],1,['spirituallyemp1']
https://t.co/03NBubwLRX,['cantholdthedram'],1,['cantholdthedram']
https://t.co/03Zr79QRtV,['BIGDaddio29'],1,['BIGDaddio29']
https://t.co/044fxrf5C4,['filmtotaal'],1,['filmtotaal']
https://t.co/045fNvfPVo,['VictoriaBreakw1'],1,['VictoriaBreakw1']
https://t.co/048RIjLkOh,['EwaStanska'],1,['EwaStanska']
https://t.co/049Rd4eeBS,"['doctuir', 'doctuir', 'doctuir']",3,['doctuir']
https://t.co/04AzV6ar3E,['WCmeshfighter'],1,['WCmeshfighter']
https://t.co/04LVVTnBLW,['zzuzanna_kow'],1,['zzuzanna_kow']
https://t.co/04RSP0oOKf,['HothOffPodcast'],1,['HothOffPodcast']
https://t.co/051DfTbAgc,['Htj0115Joy'],1,['Htj0115Joy']
https://t.co/05CthhgXdp,['GPennyshot'],1,['GPennyshot']
https://t.co/05INUmxY2q,['SkellyHelly'],1,['SkellyHelly']
https://t.co/05IeCkH5D8,['cinemaniaco_fb'],1,['cinemaniaco_fb']
https://t.co/05USkmDluj,['mainmainid_'],1,['mainmainid_']
https://t.co/06oJcWYmgr,['AzazelDv7169'],1,['AzazelDv7169']
https://t.co/07DpbyVQEv,['USAHOLA'],1,['USAHOLA']
https://t.co/07XDjdG1Yf,['SimplyMe_1213'],1,['SimplyMe_1213']
https://t.co/07Zk7rqNTt,['flauntnu'],1,['flauntnu']
https://t.co/07qArptn7V,['FantasyandScifi'],1,['FantasyandScifi']
https://t.co/08G97wBnPX,['eIizabethswn'],1,['eIizabethswn']
https://t.co/08Ho5FUlk6,['Breed2714Chi'],1,['Breed2714Chi']
https://t.co/08NTg37QGt,['isearch247'],1,['isearch247']
https://t.co/08QHUAuFoV,['saraibz101'],1,['saraibz101']
https://t.co/08xVZGO5B6,['mderndarkwizard'],1,['mderndarkwizard']
https://t.co/08yKtRP14S,['CarsCochesOFL'],1,['CarsCochesOFL']
https://t.co/09Bt4MQp9t,['An_elf_pirate'],1,['An_elf_pirate']
https://t.co/09IbNDBdvh,['FeelinWitchy'],1,['FeelinWitchy']
https://t.co/09J95dgy6K,['StevieJRaw'],1,['StevieJRaw']
https://t.co/09NV8wUFCA,['Cinemascomics'],1,['Cinemascomics']
https://t.co/0A0Pi8loBV,['portaldnevno'],1,['portaldnevno']
https://t.co/0A1wQ9X36F,['JoyceSOMalley2'],1,['JoyceSOMalley2']
https://t.co/0A23yzDfaY,['almondjoyous'],1,['almondjoyous']
https://t.co/0A7srHVKtv,['gabeAlfassy'],1,['gabeAlfassy']
https://t.co/0A8RaRRA5q,['MissMishaHeaton'],1,['MissMishaHeaton']
https://t.co/0AIj1XzMfI,['Pussyga96828631'],1,['Pussyga96828631']
https://t.co/0AefBeqYK8,['JosephReidy1'],1,['JosephReidy1']
https://t.co/0AkyszieSi,['deppbrazilfc'],1,['deppbrazilfc']
https://t.co/0AqN20VvAW,['justiceforamber'],1,['justiceforamber']
https://t.co/0B3EHTvWec,['Rayndine'],1,['Rayndine']
https://t.co/0B7wWHppGA,['JadeElliottTV'],1,['JadeElliottTV']
https://t.co/0BZcM1SgkX,['susanmaclean41'],1,['susanmaclean41']
https://t.co/0BgsEH6WLe,['SinEmbargoTR'],1,['SinEmbargoTR']
https://t.co/0C69Ax8AdM,['milko976'],1,['milko976']
https://t.co/0C8YfM9eKl,['TressaMarie6'],1,['TressaMarie6']
https://t.co/0CEXWjl6bz,['ludovicchoupo'],1,['ludovicchoupo']
https://t.co/0CULPtsboG,['doge4you'],1,['doge4you']
https://t.co/0CY5TnaH3r,['sheilaw654321'],1,['sheilaw654321']
