"№","URLs","Facebook shares","Facebook comments","Facebook comments plugin","Facebook reactions","Facebook total","Pins","Total"
"1","https://www.change.org/p/justice-for-johnny-depp","260","94","0","217","571","3","574"
"2","https://www.change.org/p/warner-brothers-keep-johnny-depp-as-grindelwald","474","410","0","1739","2623","0","2623"
"3","https://www.change.org/p/the-walt-disney-company-we-want-johnny-depp-back-as-captain-jack-sparrow-65c54dc0-db49-47ff-bcb0-726fcf1cb81a","1044","891","0","6485","8420","4","8424"
"4","https://www.change.org/p/warner-brothers-do-not-fire-amber-heard-of-aquaman-2","4","2","0","4","10","0","10"
"5","https://www.change.org/p/warner-brothers-dc-entertainment-emilia-clarke-become-mera-to-replace-amber-heard-in-aquaman-2","0","0","0","0","0","0","0"
"6","https://www.change.org/p/amber-heard-a-public-letter-to-amber-heard","2","0","0","0","2","0","2"
"7","https://www.change.org/p/hollywood-boycott-aquaman-2-amber-heard","36","19","0","61","116","0","116"
"8","https://www.change.org/p/people-with-common-sense-amber-heard-must-be-fired-too","2","0","0","2","4","0","4"
"9","https://www.change.org/p/united-states-supreme-court-put-amber-heard-behind-bars","1","0","0","0","1","0","1"
"10","https://www.change.org/p/dc-replace-amber-heard-with-danny-devito-in-aquaman","35","5","0","20","60","0","60"
"11","https://www.change.org/p/johnnydeppisinnocent","28","0","0","11","39","0","39"
"12","https://www.change.org/p/warner-brothers-amber-heard-does-not-deserve-to-play-mera-in-the-next-aquaman-film","24","13","0","123","160","0","160"
"13","https://www.change.org/p/zack-snyder-amber-heard-out-ir-justice-league","3","0","0","0","3","0","3"
"14","https://www.change.org/p/cbs-remove-amber-heard-from-the-stand-2020","2","16","0","31","49","0","49"
"15","https://www.change.org/p/warner-brothers-warner-bros-warner-media-and-dc-films-fire-amber-heard-from-her-role-as-mera-in-the-dceu","26","45","0","56","127","0","127"
"16","https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2","22146","26960","0","69539","118645","38","118683"
