name,comment
Widyasari Purba,"You are so beautifull, but so humble and caring. You are adorable."
Live Fast,"Sorry Amber, but that was too much praise for the others. The gap between them and you is not as large as you might think. You have done and endured something that hardly any one of them would have. A bit more self esteem will do it. 😘"
