,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
2048,750306754421030912,TedMonsly,Ted Monsly,2016-07-05 12:34:05+00:00,,8,8,432,http://pbs.twimg.com/profile_images/751737379078168576/mPHvcNUa_normal.jpg,https://pbs.twimg.com/profile_banners/750306754421030912/1467722457,
2742,1534854001,lovemyaniston,m,2013-06-20 19:51:01+00:00,🪐,2444,345,188904,http://pbs.twimg.com/profile_images/1421420491936501763/gQ3zGhps_normal.jpg,https://pbs.twimg.com/profile_banners/1534854001/1595698300,
3442,255255362,Harleyshiv,🌸🌙,2011-02-21 00:29:49+00:00,Minors dnf please!,652,183,177744,http://pbs.twimg.com/profile_images/1516235396572712975/lqxSRooJ_normal.jpg,https://pbs.twimg.com/profile_banners/255255362/1650333995,
4741,2358878340,americrnpsycho,dennis reynolds,2014-02-24 03:29:29+00:00,film stan / iasip,1941,375,125857,http://pbs.twimg.com/profile_images/1392253028217106435/mgPYTHR9_normal.jpg,https://pbs.twimg.com/profile_banners/2358878340/1587138876,
6906,4875041686,freyadelano,Chloe Price,2016-02-03 21:43:43+00:00,,227,165,5621,http://pbs.twimg.com/profile_images/1066321286526353408/Hj-53T9I_normal.jpg,https://pbs.twimg.com/profile_banners/4875041686/1518806509,
12560,751655275224981504,colormehappy123,Sarah Grace Williams,2016-07-09 05:52:37+00:00,"Austin, TX",10,85,9,http://pbs.twimg.com/profile_images/758022726724444160/lMcqHhHq_normal.jpg,https://pbs.twimg.com/profile_banners/751655275224981504/1468050318,
13728,3344752154,OliverBoiiiiii,k,2015-08-26 04:42:20+00:00,,674,1205,6816,http://pbs.twimg.com/profile_images/938920200459694083/hl-HshWm_normal.jpg,https://pbs.twimg.com/profile_banners/3344752154/1504440226,
