name,comment
Rodney Ives Collen,Playing a female superhero that's just as kick-ass/badass as her. She absolutely slays as Mera!
Lisa Kick Me,Damn. She's stunning
MyLoveForRoséIsAsStrongAsHerScalp Uwu,Omg. Her skin. Even her shoulder is glowing 😍
Rest in Peace,"Thank god the questions are in Mandarin-Chinese, I already feared that I wouldn‘t understand them. 😀"
Nikolce neshkovski,"You can play everything , you are special !"
Ken Ken,Beauty
Vale González Balleza,Hola amber  Heard soy yo vale te  love
