shared_url,id/url,text,n_likes,n_replies,total,url_id
https://youtu.be/Axcjv9YqYns,https://www.youtube.com/watch?v=UvsHWTGHmts,Disney Officially Rehires Johnny Depp After Case With Amber Heard!!! https://youtu.be/Axcjv9YqYns,2174.0,82.0,2256.0,youtube_comments_4_months_0
https://youtu.be/dJe8bl_BLDE,https://www.youtube.com/watch?v=gEfWUbRfFR8,"WATCH NEXT ًں‘‡

Amber Heard Faces Prison After Thisâ€¦
https://youtu.be/dJe8bl_BLDE",644.0,29.0,673.0,youtube_comments_4_months_1
https://www.youtube.com/watch?v=xCe6qh5kZ8Q,https://www.youtube.com/watch?v=Gq5uItRcKlo,How much prison time do you think she deserves for this? Click here for an update ًں‘‰ https://www.youtube.com/watch?v=xCe6qh5kZ8Q,408.0,159.0,567.0,youtube_comments_4_months_2
https://ko-fi.com/irisbabilonia,https://www.youtube.com/watch?v=ESp6yvC3AxA,"Il video أ¨ demonetizzato.
Vado a piangere in un angolino.

(Vi ricordo che se volete sostenere un canale, potete offrirmi un caffأ¨ virtuale qui: https://ko-fi.com/irisbabilonia âک•ï¸ڈ corretto, grazie)",509.0,35.0,544.0,youtube_comments_4_months_3
https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2?redirect=false,https://www.youtube.com/watch?v=gECq8x8b6bo,"Amber needs to immediately lose her roles 
*PLEASE SIGN PETITIONS TO GET HER REMOVED FROM THE ROLES.*

https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2?redirect=false

Edit :thank u to everyone who have already signed petitions this could seriously make a difference.


Edit: while I was online I also found a petitions which said that people want amber to remain in the role and are saying she is innocent. I am not sure if this is old or new.",409.0,16.0,425.0,youtube_comments_4_months_4
https://youtu.be/gEfWUbRfFR8,https://www.youtube.com/watch?v=siGE-fVUHG4,"WATCH NEXT ًں‘‡

How Amber Heard Destroyed Her Own Career
https://youtu.be/gEfWUbRfFR8",336.0,24.0,360.0,youtube_comments_4_months_5
https://www.google.com/amp/s/www.throwbacks.com/whats-eating-gilbert-grape-facts/amp/,https://www.youtube.com/watch?v=tybOcw3gQzc,"I remember on the set of â€œWhatâ€™s Eating Gilbert Grapeâ€‌, Johnny constantly apologized to Ms. Darlene Cates for saying derogatory and mean scripted things to her. Then I found this article that has reiterated his kind heart. Someone who apologizes for something they are scripted to say, does not turn in to an abuser. Just saying! 

https://www.google.com/amp/s/www.throwbacks.com/whats-eating-gilbert-grape-facts/amp/",287.0,14.0,301.0,youtube_comments_4_months_6
https://clik.cc/0Lrol,https://www.youtube.com/watch?v=KRL3B9d7J9U,"Holy Shit, I Can't Believe The Madman Pulled It Off!  Please Consider Subscribing Today!  I Could Use Your Help!  Install Raid for Free âœ… Mobile and PC: https://clik.cc/0Lrol and get a special starter pack ًں’¥ Available only for the next 30 days!",223.0,34.0,257.0,youtube_comments_4_months_7
https://thld.co/BLUblox_thequarteringmar,https://www.youtube.com/watch?v=SnBP4ZyETD0,OOPS!  Get Your BLUblox Here: https://thld.co/BLUblox_thequarteringmar,195.0,27.0,222.0,youtube_comments_4_months_8
https://www.bit.ly/valenentropia,https://www.youtube.com/watch?v=yxNL3uo7l_0,"ًں’•ACUأ‰RDENSEًں’• de que pueden apoyarme econأ³micamente y para continuar con el canal y ganar dinero ustedes simplemente descargأ،ndose Brave desde este link (solo desde este link) y empezando a usarlo: https://www.bit.ly/valenentropia آ؟Cأ“MO SE EMPIEZA A GANAR DINERO EN BRAVE? Activando los ""Brave Rewards"" en el sأ­mbolo de Brave arriba a la derecha, al lado de la barra de direcciones del navegador. Luego, creأ،ndote una cuenta en el monedero virtual ""Uphold"" (que es tan fiable como Brave y yo lo uso desde hace un montأ³n), y a partir de ahأ­, pueden empezar a pasar los BATS que ganan en Brave a su monedero de Uphold en su moneda local y luego meterlo en tu cuenta bancaria â‌¤ï¸ڈ Es super seguro y tambiأ©n pueden buscar en internet con mأ،s detalle como hacerlo. Yo cobro lo que Brave me paga haciendo lo mismo ًںک‰ آ،Muchas gracias chicos! آ،En serio! No se hacen una idea de lo que me ayudan descargأ،ndose Brave desde mi link. Esos son mis pollos â‌¤ï¸ڈ

LINK DE DESCARGA: https://www.bit.ly/valenentropia",210.0,9.0,219.0,youtube_comments_4_months_9
https://www.bit.ly/valenentropia,https://www.youtube.com/watch?v=yxNL3uo7l_0,"ًں’•ACUأ‰RDENSEًں’• de que pueden apoyarme econأ³micamente y para continuar con el canal y ganar dinero ustedes simplemente descargأ،ndose Brave desde este link (solo desde este link) y empezando a usarlo: https://www.bit.ly/valenentropia آ؟Cأ“MO SE EMPIEZA A GANAR DINERO EN BRAVE? Activando los ""Brave Rewards"" en el sأ­mbolo de Brave arriba a la derecha, al lado de la barra de direcciones del navegador. Luego, creأ،ndote una cuenta en el monedero virtual ""Uphold"" (que es tan fiable como Brave y yo lo uso desde hace un montأ³n), y a partir de ahأ­, pueden empezar a pasar los BATS que ganan en Brave a su monedero de Uphold en su moneda local y luego meterlo en tu cuenta bancaria â‌¤ï¸ڈ Es super seguro y tambiأ©n pueden buscar en internet con mأ،s detalle como hacerlo. Yo cobro lo que Brave me paga haciendo lo mismo ًںک‰ آ،Muchas gracias chicos! آ،En serio! No se hacen una idea de lo que me ayudan descargأ،ndose Brave desde mi link. Esos son mis pollos â‌¤ï¸ڈ

LINK DE DESCARGA: https://www.bit.ly/valenentropia",210.0,9.0,219.0,youtube_comments_4_months_9
https://www.youtube.com/channel/UCg0C-N_MPYYOXyF4T3jMxNQ,https://www.youtube.com/watch?v=oDiMosnYMU4,"Hey there - this is the person Team Amber Heard threatened to sue! Incredibly Average. He does the BEST videos on this subjec,t hands down https://www.youtube.com/channel/UCg0C-N_MPYYOXyF4T3jMxNQ make sure to check his material - he is the person that made me look depper after Yellow Flash noted how messed up this was.",185.0,22.0,207.0,youtube_comments_4_months_10
https://t.co/yWkf2d2APp?amp=1,https://www.youtube.com/watch?v=L4xLhQQHsRo,"Let me know what you think!

ًں’• Don't Forget to Like & Subscribe! ًں’•

âک†Other Platformsâک†

â€¢Odyssey:
https://t.co/yWkf2d2APp?amp=1

â€¢Rumble:
https://referral.rumble.com/dszVtP5hNXYLXqL89

â€¢Backup Channel:
https://www.youtube.com/channel/UCt4dtZ67qO3xWQSImQjRnJA

â€¢Bitchute Channel:
https://www.bitchute.com/channel/a3WbPaAzRKWN/

âک†Support The Channelâک†

â€¢Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

â€¢If you want to support my Channel, please check out my patreon And subscribe star below:

â€¢Patreon:
https://www.patreon.com/user?u=21542407

â€¢Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand",24.0,175.0,199.0,youtube_comments_4_months_11
https://referral.rumble.com/dszVtP5hNXYLXqL89,https://www.youtube.com/watch?v=L4xLhQQHsRo,"Let me know what you think!

ًں’• Don't Forget to Like & Subscribe! ًں’•

âک†Other Platformsâک†

â€¢Odyssey:
https://t.co/yWkf2d2APp?amp=1

â€¢Rumble:
https://referral.rumble.com/dszVtP5hNXYLXqL89

â€¢Backup Channel:
https://www.youtube.com/channel/UCt4dtZ67qO3xWQSImQjRnJA

â€¢Bitchute Channel:
https://www.bitchute.com/channel/a3WbPaAzRKWN/

âک†Support The Channelâک†

â€¢Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

â€¢If you want to support my Channel, please check out my patreon And subscribe star below:

â€¢Patreon:
https://www.patreon.com/user?u=21542407

â€¢Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand",24.0,175.0,199.0,youtube_comments_4_months_11
