shared_url,id/url,text,n_likes,n_replies,total,url_id
https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2,https://www.youtube.com/watch?v=pueTfFnZYt4,"I am not a bot, I signed the petition and so did many family and friends.
We werenâ€™t paid, we just do NOT support abusers.

Edit: Upon so many requests, here is the petition for those who want to sign it; https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2

Lets show Amber Heard that SHE is the only bot and needs to be shut down!!
Thanks everyone who signed/signs the petition!!",441.0,20.0,461.0,youtube_comments_dec_0
https://privateinternetaccess.com/TheQuarteringBF,https://www.youtube.com/watch?v=XqdI8icEbDM,Amber Heard Wants You To Subscribe To My Channel Right Now! Make Sure You Leave A Like & Subscribe! Save HUGE On Private Internet Access! https://privateinternetaccess.com/TheQuarteringBF,282.0,40.0,322.0,youtube_comments_dec_1
https://displate.com/thequartering?art=5e0b6fe4e87b0,https://www.youtube.com/watch?v=9ILLMyWcUdE,Smash Like If You Are Getting Impatient On Karma.....  Save Bit On Displate!  Here Is A Special Link!  https://displate.com/thequartering?art=5e0b6fe4e87b0,125.0,14.0,139.0,youtube_comments_dec_2
n.pr/support-the-tiny-desk,https://www.youtube.com/watch?v=B_ymY0xG0LI,Tiny Desk Concerts are only possible through donations from our community. This year has been unprecedented but weâ€™ve made sure to keep producing the concerts you love. Show your support with a donation to your local NPR station atآ n.pr/support-the-tiny-desk,92.0,8.0,100.0,youtube_comments_dec_3
https://lbry.tv/@NerdettesNewsStand:7,https://www.youtube.com/watch?v=hf-Udu30Lzs,"Wahoo, definitely some GOOD news today ًںکœ

Let me know what you think!

ًں’• Don't Forget to Like & Subscribe! ًں’•

Lbry Channel:
https://lbry.tv/@NerdettesNewsStand:7

Rumble:
https://referral.rumble.com/dszVtP5hNXYLXqL89

Backup Channel:
https://www.youtube.com/channel/UCt4dtZ67qO3xWQSImQjRnJA

Bitchute Channel:
https://www.bitchute.com/channel/a3WbPaAzRKWN/

Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

If you want to support my Channel, please check out my patreon And subscribe star below:

Patreon:
https://www.patreon.com/user?u=21542407

Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand",50.0,9.0,59.0,youtube_comments_dec_4
https://referral.rumble.com/dszVtP5hNXYLXqL89,https://www.youtube.com/watch?v=hf-Udu30Lzs,"Wahoo, definitely some GOOD news today ًںکœ

Let me know what you think!

ًں’• Don't Forget to Like & Subscribe! ًں’•

Lbry Channel:
https://lbry.tv/@NerdettesNewsStand:7

Rumble:
https://referral.rumble.com/dszVtP5hNXYLXqL89

Backup Channel:
https://www.youtube.com/channel/UCt4dtZ67qO3xWQSImQjRnJA

Bitchute Channel:
https://www.bitchute.com/channel/a3WbPaAzRKWN/

Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

If you want to support my Channel, please check out my patreon And subscribe star below:

Patreon:
https://www.patreon.com/user?u=21542407

Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand",50.0,9.0,59.0,youtube_comments_dec_4
https://www.youtube.com/channel/UCt4dtZ67qO3xWQSImQjRnJA,https://www.youtube.com/watch?v=hf-Udu30Lzs,"Wahoo, definitely some GOOD news today ًںکœ

Let me know what you think!

ًں’• Don't Forget to Like & Subscribe! ًں’•

Lbry Channel:
https://lbry.tv/@NerdettesNewsStand:7

Rumble:
https://referral.rumble.com/dszVtP5hNXYLXqL89

Backup Channel:
https://www.youtube.com/channel/UCt4dtZ67qO3xWQSImQjRnJA

Bitchute Channel:
https://www.bitchute.com/channel/a3WbPaAzRKWN/

Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

If you want to support my Channel, please check out my patreon And subscribe star below:

Patreon:
https://www.patreon.com/user?u=21542407

Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand",50.0,9.0,59.0,youtube_comments_dec_4
https://www.bitchute.com/channel/a3WbPaAzRKWN/,https://www.youtube.com/watch?v=hf-Udu30Lzs,"Wahoo, definitely some GOOD news today ًںکœ

Let me know what you think!

ًں’• Don't Forget to Like & Subscribe! ًں’•

Lbry Channel:
https://lbry.tv/@NerdettesNewsStand:7

Rumble:
https://referral.rumble.com/dszVtP5hNXYLXqL89

Backup Channel:
https://www.youtube.com/channel/UCt4dtZ67qO3xWQSImQjRnJA

Bitchute Channel:
https://www.bitchute.com/channel/a3WbPaAzRKWN/

Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

If you want to support my Channel, please check out my patreon And subscribe star below:

Patreon:
https://www.patreon.com/user?u=21542407

Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand",50.0,9.0,59.0,youtube_comments_dec_4
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join,https://www.youtube.com/watch?v=hf-Udu30Lzs,"Wahoo, definitely some GOOD news today ًںکœ

Let me know what you think!

ًں’• Don't Forget to Like & Subscribe! ًں’•

Lbry Channel:
https://lbry.tv/@NerdettesNewsStand:7

Rumble:
https://referral.rumble.com/dszVtP5hNXYLXqL89

Backup Channel:
https://www.youtube.com/channel/UCt4dtZ67qO3xWQSImQjRnJA

Bitchute Channel:
https://www.bitchute.com/channel/a3WbPaAzRKWN/

Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

If you want to support my Channel, please check out my patreon And subscribe star below:

Patreon:
https://www.patreon.com/user?u=21542407

Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand",50.0,9.0,59.0,youtube_comments_dec_4
https://www.patreon.com/user?u=21542407,https://www.youtube.com/watch?v=hf-Udu30Lzs,"Wahoo, definitely some GOOD news today ًںکœ

Let me know what you think!

ًں’• Don't Forget to Like & Subscribe! ًں’•

Lbry Channel:
https://lbry.tv/@NerdettesNewsStand:7

Rumble:
https://referral.rumble.com/dszVtP5hNXYLXqL89

Backup Channel:
https://www.youtube.com/channel/UCt4dtZ67qO3xWQSImQjRnJA

Bitchute Channel:
https://www.bitchute.com/channel/a3WbPaAzRKWN/

Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

If you want to support my Channel, please check out my patreon And subscribe star below:

Patreon:
https://www.patreon.com/user?u=21542407

Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand",50.0,9.0,59.0,youtube_comments_dec_4
https://www.subscribestar.com/nerdettesnewsstand,https://www.youtube.com/watch?v=hf-Udu30Lzs,"Wahoo, definitely some GOOD news today ًںکœ

Let me know what you think!

ًں’• Don't Forget to Like & Subscribe! ًں’•

Lbry Channel:
https://lbry.tv/@NerdettesNewsStand:7

Rumble:
https://referral.rumble.com/dszVtP5hNXYLXqL89

Backup Channel:
https://www.youtube.com/channel/UCt4dtZ67qO3xWQSImQjRnJA

Bitchute Channel:
https://www.bitchute.com/channel/a3WbPaAzRKWN/

Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

If you want to support my Channel, please check out my patreon And subscribe star below:

Patreon:
https://www.patreon.com/user?u=21542407

Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand",50.0,9.0,59.0,youtube_comments_dec_4
